ATF1_(+),ATF4_(+),BATF_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CREM_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),FOS_(+),FOSB_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF3_(+),IRF7_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF11_(+),KLF13_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAZ_(+),NFATC2_(+),NFATC3_(+),NFKB1_(+),NFYC_(+),NR1H2_(+),NR3C1_(+),PHF20_(+),RBPJ_(+),RUNX3_(+),RXRB_(+),STAT1_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB25_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,HMGN2,,,,UBE2J2,NR4A3,MZF1-AS1,,,NGRN,,TRPM7,KARS,MIDN,,LSM3,,KLC1,,,HNRNPUL1,RPS27,PDIA6,RNPEP,,,PIAS1,SAFB,,,,,KLF6,EFHD2,PRNP,,,,SREK1,,,,SEL1L3,VPS25,,,,,,PPP4C,,,,,,,PIN4,,TADA3,,,,RSAD1,,DBI,,,MATK,,,,
,HMGN3,,,,UBE2Q1,OGDH,NAA38,,,NIFK,,TSPAN32,KCNAB2,MIR22HG,,LSM5,,KLHL24,,,HP1BP3,RPS27A,PFN1,RPL15,,,PIGC,SAP18,,,,,KLRK1,EGR1,PRPF31,,,,SRGN,,,,SETD2,WIPF1,,,,,,PRDX2,,,,,,,PLAC8,,TBCA,,,,RTCB,,DCAF13,,,MCRIP1,,,,
,HNRNPA1,,,,UBLCP1,OXR1,NDUFS3,,,NNT,,TTC17,KIAA1143,MLF2,,LSP1,,KLRB1,,,HPRT1,RPS4X,PHF11,RPL23,,,PIH1D1,SCFD1,,,,,KMT2E-AS1,EIF1,PSMA6,,,,SRP9,,,,SH2D2A,XRN2,,,,,,PRKRIP1,,,,,,,PLD3,,TES,,,,RTN4,,DCUN1D5,,,MCTP2,,,,
,HNRNPA2B1,,,,UPF2,PCED1B-AS1,NEU1,,,NOL7,,TUBA1A,KLF10,MMADHC,,LYRM1,,KLRD1,,,HSPA5,RPS6,PHTF1,RPL24,,,PITPNC1,SDHC,,,,,KRR1,EIF1AY,PSMB1,,,,SRRM2,,,,SLF1,ZBTB44,,,,,,PRMT2,,,,,,,PLPP5,,THAP1,,,,SAMD9L,,DDB1,,,MDH1,,,,
,HNRNPC,,,,UQCRC2,PDAP1,NFATC2IP,,,NR3C1,,TXNRD1,KLF12,MMP23B,,LYRM7,,KMT2A,,,HSPA8,RPS6KA4,PIAS1,RPL29,,,PLEK,SERF2,,,,,KRTCAP2,EIF1B,PSMC3,,,,SRSF2,,,,SLFN5,ZC3H18,,,,,,PRSS23,,,,,,,PMM1,,THEM4,,,,SDF4,,DDB2,,,MDH2,,,,
,HOPX,,,,USP3,PFDN6,NIPA2,,,NR4A2,,UBAP1,KLHDC2,MOB4,,LYST,,KMT2C,,,HSPB11,RPS9,PITPNC1,RPL32,,,PMF1,SERP1,,,,,LAIR1,EIF2A,PSMC5,,,,SRSF5,,,,SLMAP,ZYX,,,,,,PSMC1,,,,,,,PMPCB,,THOC3,,,,SEC61G,,DDIT4,,,MDM4,,,,
,HP1BP3,,,,WAPL,PFKP,NMI,,,NSMCE4A,,UBL7,KLRG1,MRPL12,,MACF1,,KMT2E-AS1,,,ICAM3,RRP8,PKM,RPL39L,,,PNN,SETD3,,,,,LAT,EIF2AK1,PSMD6,,,,SSR3,,,,SLU7,,,,,,,PSMD8,,,,,,,POLR2F,,THUMPD3-AS1,,,,SERPINB1,,DDRGK1,,,ME2,,,,
,HSP90AA1,,,,WTAP,PIAS2,NOTCH1,,,OSBPL5,,VMA21,KMT5B,MRPS16,,MAP2K2,,KPNA2,,,IDI1,SACM1L,POLR2C,RPLP1,,,PNPLA2,SF3B2,,,,,LDHA,EIF2S3,PTGER2,,,,STARD7,,,,SMAGP,,,,,,,PSME2,,,,,,,POLR2K,,TIMM10,,,,SF3B6,,DDT,,,MECP2,,,,
,HSPA5,,,,XRN2,PIGP,NPEPPS,,,OST4,,WDR48,KPNA3,MRPS18C,,MAPK1,,KXD1,,,IER2,SAMSN1,PPIE,RPS5,,,PPM1K,SF3B5,,,,,LITAF,EIF3E,PTP4A2,,,,STK4,,,,SMARCA2,,,,,,,PSTPIP1,,,,,,,PPIE,,TLK1,,,,SIPA1,,DDX21,,,MED28,,,,
,HTATIP2,,,,YPEL1,PIM1,NSUN6,,,P4HB,,XCL1,LAIR1,MRPS33,,MAPRE2,,LAIR1,,,IER5,SDHB,PPP1R18,RPS6,,,PPP1CC,SLC25A11,,,,,LMNB1,EIF3F,RAB29,,,,SUCLG1,,,,SPON2,,,,,,,PTBP3,,,,,,,PPM1A,,TMEM19,,,,SLC20A1,,DDX39A,,,MED6,,,,
,HUWE1,,,,ZBTB43,PMPCA,NT5C,,,PARK7,,YTHDC1,LAMTOR1,MRPS36,,MCTP2,,LAIR2,,,IFNG,SEC61G,PPP2CA,RPS7,,,PRKACB,SLC39A8,,,,,LRRFIP1,EIF3G,RAB7A,,,,TAOK3,,,,SSH2,,,,,,,PTGES3,,,,,,,PPP1R35,,TMEM230,,,,SLC25A38,,DDX3Y,,,METTL9,,,,
,ID2,,,,ZC3H13,PNRC1,OGFR,,,PEBP1,,ZBTB10,LCP1,MSN,,ME2,,LAPTM5,,,IFRD1,SESN1,PRKACB,RPS8,,,PRKCSH,SNAPC5,,,,,LSM3,EIF3J,RABGAP1L,,,,THOC3,,,,SSR3,,,,,,,PYURF,,,,,,,PPP1R7,,TNRC6A,,,,SLC25A45,,DDX5,,,MGAT1,,,,
,IER2,,,,ZCCHC7,PPP1CA,OIP5-AS1,,,PFDN5,,ZBTB38,LDHA,MTCH2,,MED17,,LARP7,,,IL18RAP,SFPQ,PRKAG1,RSF1,,,PRPF31,SNHG5,,,,,LSM5,EIF3K,RAD51-AS1,,,,THOC7,,,,STXBP2,,,,,,,RALY,,,,,,,PPP1R9B,,TOMM22,,,,SLC38A10,,DDX6,,,MICU2,,,,
,IFITM3,,,,ZDHHC4,PPP1CC,OSBPL5,,,PFN1,,ZC3HAV1,LETM1,MYL12A,,MGRN1,,LDHB,,,IL2RB,SH3GLB1,PRKCB,RSU1,,,PSMA3,SNRPB,,,,,LYPLA1,EIF4A1,RBCK1,,,,TIMM8B,,,,SUN2,,,,,,,RANBP1,,,,,,,PPT1,,TPP2,,,,SLC39A10,,DECR1,,,MIDN,,,,
,IFRD1,,,,ZFP36L2,PPP1R11,OSER1,,,PGAM1,,ZFAND2B,LGALS9,N4BP2L1,,MICU2,,LEPROTL1,,,INTS6,SLC5A6,PSIP1,SDCBP,,,PSMA4,SNU13,,,,,MAGOH,EIF4A2,RBM3,,,,TMEM59,,,,SYNJ2BP,,,,,,,RAPGEF6,,,,,,,PRDX6,,TRIM33,,,,SLC52A2,,DENND1B,,,MITD1,,,,
,IGBP1,,,,ZMYM5,PPP1R12A,OSTC,,,PGK1,,ZNF335,LMAN1,NAAA,,MIER1,,LGALS9,,,IRS2,SMIM20,PSMA3-AS1,SDHB,,,PSMD8,SOD1,,,,,MAN1B1,EIF4EBP1,RBM38,,,,TNFAIP8,,,,TAGAP,,,,,,,RASA2,,,,,,,PRKRA,,TRMT13,,,,SMAD3,,DENND2D,,,MLC1,,,,
,IGF2R,,,,ZMYND11,PPP1R2,OTUD5,,,PGLS,,ZNF791,LSM5,NBR1,,MIS18BP1,,LIMD2,,,ISCA1,SNHG5,PSMC1,SERBP1,,,PSMD9,SPAG9,,,,,MAP2K3,EIF4G2,RBM8A,,,,TNIP1,,,,TAGLN2,,,,,,,RASGEF1B,,,,,,,PSMB6,,TSPAN3,,,,SMARCA5,,DENND4B,,,MNT,,,,
,IKZF3,,,,ZNF131,PPP1R35,OXNAD1,,,PHF11,,,LYRM1,NCAPH2,,MLF2,,LINC00299,,,ITGB1BP1,SNHG8,PSMC2,SERP1,,,PYCR2,SPOP,,,,,MAT2A,EIF4H,RFXANK,,,,TOP2B,,,,TANK,,,,,,,RBL2,,,,,,,PSMB8,,TSPYL2,,,,SNHG17,,DERL1,,,MRPL20,,,,
,IL18RAP,,,,ZNF226,PPP2R5E,PAIP2,,,PLAC8,,,MAP4K4,NCKAP1L,,MOSPD3,,LLGL2,,,ITPKB,SNRPC,PSMF1,SLC25A1,,,RAB11A,SREK1IP1,,,,,MBNL1,EMB,RHOC,,,,TXNDC11,,,,TCP11L2,,,,,,,RBM5,,,,,,,PTGDR,,TXN2,,,,SNRPB,,DFFA,,,MRPL42,,,,
,ILKAP,,,,ZNF518A,PPP3CC,PARP10,,,PLCL2,,,MBD4,NDUFAF4,,MRPL51,,LMBR1L,,,IVNS1ABP,SNRPD1,PTS,SLC25A33,,,RAB18,SRP14,,,,,MCL1,EMD,RICTOR,,,,UBE2D3,,,,TES,,,,,,,RHEB,,,,,,,PTPN4,,TYK2,,,,SRP9,,DGUOK,,,MRPL47,,,,
,INPP5D,,,,ZNF644,PPP4R3A,PDCD5,,,PLEKHF1,,,MCRIP2,NDUFB2,,MRPS12,,LPIN1,,,JAK1,SOD1,R3HCC1,SLC39A10,,,RAB5B,SRRM1,,,,,MDH1,ENSA,RNASEH2C,,,,UCKL1,,,,TGFB1,,,,,,,RORA,,,,,,,QKI,,UBA1,,,,SRPRA,,DHRS3,,,MRPL54,,,,
,INTS10,,,,ZNF800,PRKRA,PDE4A,,,PNRC2,,,MCRS1,NDUFB6,,MRPS33,,LSM1,,,JTB,SPAG7,RAB8B,SLTM,,,RANGRF,SSRP1,,,,,MED19,EP300,RNF213,,,,UFC1,,,,TGFBR3,,,,,,,RPA3,,,,,,,QRICH1,,UBE2G2,,,,SRSF4,,DHX30,,,MYOM2,,,,
,IQGAP2,,,,,PRPF4B,PDE4D,,,POLE4,,,MDP1,NDUFC1,,MRPS36,,LUC7L3,,,JUN,SRSF2,RACK1,SNF8,,,RASSF1,SSU72,,,,,MGST3,EPC1,RNPS1,,,,USP16,,,,TGOLN2,,,,,,,RPL7,,,,,,,RAB11A,,UBE2R2,,,,SRSF6,,DHX40,,,N4BP2L1,,,,
,IST1,,,,,PRSS23,PDS5A,,,POLR2F,,,MED13L,NDUFS2,,MSL2,,LY75,,,JUNB,SRSF3,RAD51-AS1,SNHG5,,,RBM8A,STAU1,,,,,MIA2,ERGIC1,RPL13,,,,USP22,,,,THYN1,,,,,,,RPN2,,,,,,,RAB18,,UGGT1,,,,SRSF7,,DIAPH1,,,NAA20,,,,
,ITCH,,,,,PSMB8,PEX2,,,POLR2K,,,MED30,NDUFS4,,MYCBP2,,LYST,,,KCTD10,SRSF5,RAD9A,SNRNP200,,,RERE,STIP1,,,,,MPC2,ERICH1,RPL22L1,,,,WDR1,,,,TIMM10,,,,,,,RPS11,,,,,,,RABGGTA,,UPF3A,,,,SRSF8,,DNAJB14,,,NABP2,,,,
,ITGB1BP1,,,,,PSME2,PFDN2,,,POMP,,,MED6,NDUFS6,,NAA10,,MAP2K2,,,KDELR2,SRSF7,RALY,SNRPB,,,RHOC,STOML2,,,,,MRPL47,ERP44,RPL28,,,,WDR20,,,,TIPRL,,,,,,,RPS21,,,,,,,RAD9A,,UQCRQ,,,,SSR2,,DNAJC19,,,NBR1,,,,
,JADE1,,,,,PTGER2,PGRMC2,,,PPP1R15A,,,METTL23,NDUFS7,,NAA20,,MAP2K3,,,KIR3DL2,SSR2,RAMP1,SPOP,,,RHOH,STT3B,,,,,MRPL48,ESCO1,RPL29,,,,WDR45,,,,TMED3,,,,,,,RPS4Y1,,,,,,,RAN,,USP12,,,,STARD3NL,,DNAJC4,,,NCKAP1L,,,,
,JUN,,,,,PTK2B,PHF14,,,PPP1R18,,,METTL5,NDUFV2,,NAP1L4,,MAP4K1,,,KLF6,STAT6,RANBP1,SQSTM1,,,RNF181,SUMO3,,,,,MSL3,ESYT2,RPL37,,,,WDR83OS,,,,TMEM14B,,,,,,,RPUSD3,,,,,,,RANBP3,,USP16,,,,STX10,,DNAJC8,,,NCL,,,,
,KCTD5,,,,,PTTG1IP,PIK3CD,,,PPP1R7,,,MGST3,NEDD1,,NCKAP1L,,MAT2A,,,KLRF1,STRADA,RANBP2,SRP54,,,RNMT,SYAP1,,,,,MTG1,ETFA,RPL7L1,,,,XRCC5,,,,TMEM35B,,,,,,,RTN3,,,,,,,RAP1B,,USP34,,,,SUB1,,DPP9,,,NDUFA7,,,,
,KIAA0355,,,,,RAB29,PIK3R1,,,PPP2CA,,,MICU2,NELFCD,,NCL,,MCRIP1,,,KMT2E-AS1,TBC1D22A,RCBTB2,SRRM1,,,ROCK1,TAF7,,,,,MVB12A,EXOSC6,RPS24,,,,ZBTB43,,,,TMUB1,,,,,,,RTN4,,,,,,,RASA3,,VGLL4,,,,SUMO1,,DPY30,,,NDUFB4,,,,
,KLF10,,,,,RBM18,PITPNC1,,,PRCC,,,MIS12,NEMF,,NDUFA8,,MCTP2,,,KPNA1,TGIF1,RGCC,SSR2,,,RORA,TIMM13,,,,,MYADM,EXOSC9,RPS26,,,,ZCCHC7,,,,TNFAIP8,,,,,,,SAE1,,,,,,,RBM25,,WAC,,,,SUN2,,DTNBP1,,,NENF,,,,
,KLHDC4,,,,,RBM22,PLD3,,,PRKAR1A,,,MITD1,NIN,,NDUFB5,,ME2,,,KTI12,TMA7,RNF115,STARD3,,,RPL22L1,TIMM44,,,,,MYL12A,EZH2,RPS27A,,,,ZNF331,,,,TOR1A,,,,,,,SAMD9,,,,,,,RBMS1,,WAC-AS1,,,,SYF2,,DUSP5,,,NFATC2,,,,
,KLHL24,,,,,RC3H1,PLSCR1,,,PRPF4B,,,MMAB,NKAP,,NDUFB8,,MEA1,,,KTN1,TMBIM4,RNF126,TCEA1,,,RPL26L1,TMBIM1,,,,,MZF1-AS1,FAAP20,RPS3A,,,,ZNF493,,,,TUBA4A,,,,,,,SAP18,,,,,,,RCC2,,WDR43,,,,SYT5,,EAPP,,,NFKBID,,,,
,KLRD1,,,,,RCOR3,PNKD,,,PSMB10,,,MRPS18C,NKG7,,NDUFS3,,MED15,,,LCOR,TMED2,RNF181,TDG,,,RSRP1,TMED9,,,,,NACA,FABP5,RPS4X,,,,,,,,TULP4,,,,,,,SATB1,,,,,,,RECQL,,WDR45,,,,TADA3,,EBP,,,NFYB,,,,
,KMT2C,,,,,RIC8A,PNRC1,,,PSMB2,,,MRPS21,NME2,,NDUFS7,,METTL23,,,LEPROTL1,TMEM107,RNMT,TERF1,,,S100A10,TMEM138,,,,,NAP1L1,FAM162A,RPS7,,,,,,,,TXN2,,,,,,,SDHC,,,,,,,REL,,WDR55,,,,TAF12,,ECI2,,,NGLY1,,,,
,KRR1,,,,,RNF187,POLR2G,,,PSMB7,,,MRPS28,NMT1,,NENF,,MIB2,,,LINC00476,TNIP1,RPL12,TESC,,,S100A9,TMSB10,,,,,NDUFA13,FAM177A1,RTN4,,,,,,,,UBA1,,,,,,,SEC14L1,,,,,,,RFC2,,YES1,,,,TBC1D22A,,EDEM2,,,NKG7,,,,
,KTI12,,,,,RNF44,POP5,,,PSMC2,,,MRPS31,NNT,,NFATC2IP,,MITD1,,,LMNB1,TPM3,RPL13,TFDP1,,,SAMHD1,TPGS1,,,,,NDUFB7,FAM49B,SAT1,,,,,,,,UBE2D2,,,,,,,SERBP1,,,,,,,RGS3,,ZNF32,,,,TCEA1,,EFHD2,,,NOL10,,,,
,LAP3,,,,,RNMT,PPP1R12A,,,PSMD7,,,MRPS35,NR4A2,,NIPBL,,MOB2,,,MAD1L1,TPT1,RPL26L1,TMED3,,,SAT1,TRAM1,,,,,NDUFV2,FBXO32,SEC22B,,,,,,,,UBE2Q1,,,,,,,SERF2,,,,,,,RMDN1,,ZNF394,,,,TCIRG1,,EHMT1,,,NOL7,,,,
,LAT,,,,,RPL27,PPP4R3A,,,PTMA,,,MSL2,NTMT1,,NLRC5,,MPHOSPH8,,,MAP4,TRAPPC2B,RPL3,TMEM126B,,,SCNM1,TTC39C,,,,,NEAT1,FBXO33,SEC24C,,,,,,,,USE1,,,,,,,SETD3,,,,,,,RNF213,,ZNF451,,,,TCP1,,EIF1,,,NOSIP,,,,
,LATS1,,,,,RPL7,PPP6R1,,,PTPN18,,,MT1X,NUDC,,NRROS,,MRPL14,,,MAPRE1,TRMT112,RPL36,TMSB10,,,SDF2L1,TXNIP,,,,,NFKBIA,FBXW5,SF1,,,,,,,,USP24,,,,,,,SF3A3,,,,,,,RNF41,,ZNF493,,,,TFPT,,EIF2S1,,,NRDC,,,,
,LETM1,,,,,RPS19,PRKACB,,,PTPN7,,,MTFP1,NUFIP2,,NUBP2,,MRPL40,,,MBP,TSR2,RPL4,TMX1,,,SEC23IP,UBA6,,,,,NFKBID,FIS1,SF3B5,,,,,,,,USP39,,,,,,,SF3B2,,,,,,,RNMT,,,,,,TMC8,,EIF3D,,,NUP107,,,,
,LINC01578,,,,,RPS19BP1,PRKAG2,,,PTPRA,,,MTMR9,ODC1,,NUCKS1,,MRPL48,,,MCFD2,UBC,RPL6,TNPO1,,,SECISBP2,UFM1,,,,,NFKBIZ,FKBP11,SFPQ,,,,,,,,USP47,,,,,,,SH3GLB1,,,,,,,RPL30,,,,,,TMEM106B,,EIF3I,,,OFD1,,,,
,LITAF,,,,,RPS2,PRKCQ-AS1,,,RAB11A,,,MVD,OGT,,NUTF2,,MRPL57,,,MCL1,UQCR11,RPN1,TOMM7,,,SERF2,UGGT1,,,,,NGRN,FKBP1A,SIPA1,,,,,,,,VCPKMT,,,,,,,SIVA1,,,,,,,RPS7,,,,,,TMUB1,,EIF3K,,,OGFR,,,,
,LMAN1,,,,,RPS26,PRRC2C,,,RAB8A,,,MYL12A,OLA1,,NUTM2A-AS1,,MRPS18A,,,MEF2D,URM1,RPS15,TPR,,,SERP1,UQCC2,,,,,NR4A1,FKBP2,SLC25A3,,,,,,,,VDAC2,,,,,,,SLC25A5,,,,,,,RSRC2,,,,,,TNFRSF18,,EIF3L,,,OGT,,,,
,LMNA,,,,,RPS27L,PSMA1,,,RACK1,,,NABP1,OSBPL5,,OAZ1,,MRPS23,,,METTL9,UROS,RPS18,TRABD,,,SF3A2,UQCR10,,,,,NR4A2,FKBP5,SLC38A10,,,,,,,,VPS36,,,,,,,SLC2A3,,,,,,,S100B,,,,,,TNIP2,,EIF3M,,,OSBPL8,,,,
,LMNB1,,,,,RPS4X,PSMA3-AS1,,,RAP1B,,,NCAM1,PA2G4,,ORMDL2,,MRPS36,,,MGAT4A,UXT,RPS19BP1,TRIM33,,,SF3B4,UQCR11,,,,,NUDC,FMNL1,SNAP47,,,,,,,,WDFY2,,,,,,,SLTM,,,,,,,SAMD9,,,,,,TP53I13,,EIF4A1,,,OSTF1,,,,
,LPIN1,,,,,RRAS2,PSTPIP1,,,RBM22,,,NDE1,PAIP2,,OSTC,,MRPS6,,,MGST3,VASP,RPS27A,TRIM52-AS1,,,SFI1,USP34,,,,,NXT1,FNBP4,SNX5,,,,,,,,YPEL3,,,,,,,SMC3,,,,,,,SDHAF2,,,,,,TRMT112,,EIF4A2,,,OSTM1,,,,
,LRP10,,,,,RRBP1,PTP4A2,,,RHOA,,,NDFIP1,PARK7,,OSTM1,,MTA1,,,MIS12,VIM,RPS5,TSG101,,,SFPQ,USP39,,,,,ODC1,FNDC3B,SOD1,,,,,,,,ZAP70,,,,,,,SMG1,,,,,,,SEC14L1,,,,,,TSPAN31,,EIF4G2,,,OTULIN,,,,
,LRRC8A,,,,,S1PR5,PTPN12,,,RHOT2,,,NDUFA11,PDIA3,,OTUD5,,MTDH,,,MMADHC,VPS53,RPS6KB2,TTC17,,,SH3BGRL,VMA21,,,,,OFD1,FOS,SPATA13,,,,,,,,ZFP36,,,,,,,SNF8,,,,,,,SEL1L3,,,,,,TSPAN32,,EIF5A,,,OXLD1,,,,
,LSM1,,,,,SAMD3,PTPN18,,,RNF10,,,NDUFA13,PDS5B,,PABPN1,,MTERF4,,,MRPS7,WDR74,RSRC1,TUFM,,,SHKBP1,VPS26A,,,,,OLA1,FOSB,SPON2,,,,,,,,ZFP36L1,,,,,,,SNHG15,,,,,,,SERPINB1,,,,,,TSPO,,ELK4,,,PAK2,,,,
,LSM14A,,,,,SARAF,PTPRE,,,RNF167,,,NDUFA5,PEF1,,PAPOLA,,MTX1,,,MSL3,WDSUB1,RUNX1,UBB,,,SKAP2,VPS4A,,,,,OSTM1,FRYL,SPSB3,,,,,,,,ZNF292,,,,,,,SNU13,,,,,,,SERPINB6,,,,,,TTC32,,EMC10,,,PARP8,,,,
,LSP1,,,,,SART1,PUM2,,,RPL13A,,,NDUFA8,PFKP,,PARP10,,MXD4,,,MSMO1,XIST,RUVBL2,UBE2E3,,,SKP1,WDR1,,,,,PAPOLA,FTH1,SRGN,,,,,,,,ZNF331,,,,,,,SNX5,,,,,,,SFXN3,,,,,,TXNDC12,,EML3,,,PARVG,,,,
,LST1,,,,,SCAMP3,RAB27A,,,RPL15,,,NDUFB4,PFN1,,PARP14,,MZF1-AS1,,,MTHFS,YIF1A,SAP30BP,UBE2I,,,SLC25A36,WDR61,,,,,PARK7,FUS,SRP14,,,,,,,,ZNF394,,,,,,,SPAG7,,,,,,,SIPA1,,,,,,U2AF1L4,,ENO1,,,PDCD4,,,,
,LUC7L2,,,,,SCYL2,RAB28,,,RPL22L1,,,NDUFC1,PHF21A,,PCBP2,,MZT1,,,MTRF1L,YME1L1,SDHB,UBE2J1,,,SLC9A3R1,XRCC6,,,,,PCBP1,GADD45B,SRSF5,,,,,,,,ZNF429,,,,,,,SPON2,,,,,,,SIRT7,,,,,,UBE2D2,,ENY2,,,PDCD6IP,,,,
,LYRM1,,,,,SDCBP,RABGAP1L,,,RPL27A,,,NFKB2,PHPT1,,PCF11,,NAA50,,,MYL12A,YPEL5,SDHC,UBE2J2,,,SLU7,YBX1,,,,,PCM1,GALNT11,SRSF7,,,,,,,,ZNF487,,,,,,,SSR1,,,,,,,SLA,,,,,,UBE2D3,,EOMES,,,PDE4B,,,,
,MACF1,,,,,SDHAF2,RAD23B,,,RPL28,,,NFKBIB,PLAC8,,PCNP,,NAF1,,,MYL12B,ZBTB10,SEC61B,UQCC3,,,SMAD2,YWHAE,,,,,PCNA,GAPVD1,SSBP4,,,,,,,,ZNF600,,,,,,,SSRP1,,,,,,,SLC16A3,,,,,,UBE2F,,EP300,,,PDE4D,,,,
,MAN1B1,,,,,SETX,RAE1,,,RPL29,,,NGDN,PLEK,,PDIA3,,NARF,,,MZF1-AS1,ZFAS1,SERBP1,UQCRC2,,,SMAP1,YWHAQ,,,,,PDAP1,GAS5,SSR2,,,,,,,,ZNF644,,,,,,,STARD3,,,,,,,SLC20A1,,,,,,UBE2K,,EPC1,,,PDS5B,,,,
,MAPKAPK5,,,,,SH3BP5,RALY,,,RPL32,,,NGRN,PLEKHA2,,PFN1,,NCOR1,,,NACA,ZFYVE16,SET,UQCRFS1,,,SMARCA5,,,,,,PDIA6,GATAD1,STARD3NL,,,,,,,,,,,,,,,STK17B,,,,,,,SLC38A1,,,,,,URM1,,EPS15,,,PECAM1,,,,
,MAPKAPK5-AS1,,,,,SH3GLB1,RAN,,,RPL5,,,NHP2,PNKP,,PHF11,,NDUFA1,,,NAP1L1,ZNF207,SF1,UQCRH,,,SMC4,,,,,,PFDN6,GATAD2A,STARD7,,,,,,,,,,,,,,,STUB1,,,,,,,SLC5A3,,,,,,USB1,,ERBB2,,,PER1,,,,
,MBD5,,,,,SIPA1,RAP1B,,,RPL6,,,NIPBL,POFUT2,,PHIP,,NDUFA10,,,NAP1L4,ZNF83,SF3B2,UQCRQ,,,SMS,,,,,,PFN1,GCC2,STK4,,,,,,,,,,,,,,,SUCLG1,,,,,,,SMARCE1,,,,,,VEZF1,,ERCC1,,,PEX19,,,,
,MCM7,,,,,SLC25A3,RBCK1,,,RPL7A,,,NMRK1,POLE3,,PIH1D1,,NDUFA5,,,NCOA1,ZNF84,SF3B6,URM1,,,SNHG3,,,,,,PHAX,GCHFR,STRAP,,,,,,,,,,,,,,,SUPT16H,,,,,,,SMC4,,,,,,VPS37B,,ERH,,,PGK1,,,,
,MCRIP1,,,,,SLTM,RBM25,,,RPL8,,,NORAD,PPM1A,,PIN4,,NDUFA6,,,NCOA3,,SFPQ,VMP1,,,SNRNP200,,,,,,PHLDA1,GDI2,STXBP3,,,,,,,,,,,,,,,SYF2,,,,,,,SMCHD1,,,,,,WDR43,,ERI3,,,PHB2,,,,
,MEPCE,,,,,SMCHD1,RBM3,,,RPLP1,,,NOTCH1,PPP1CB,,PNRC2,,NDUFS5,,,NCOA4,,SFT2D1,VRK3,,,SNRPB2,,,,,,PMAIP1,GHITM,SUMO1,,,,,,,,,,,,,,,TAGAP,,,,,,,SMYD4,,,,,,XBP1,,ERICH1,,,PIGK,,,,
,MGST3,,,,,SMIM7,RBM38,,,RPS12,,,NPEPPS,PPP1R10,,POLDIP3,,NEDD8,,,NDUFA13,,SGK3,WASF2,,,SOX4,,,,,,PNRC1,GLTP,SUN2,,,,,,,,,,,,,,,TALDO1,,,,,,,SNHG3,,,,,,ZBTB20,,ERICH6-AS1,,,PKM,,,,
,MICU2,,,,,SPON2,RCN2,,,RPS16,,,NPTN,PRDX6,,POLR1D,,NELFCD,,,NDUFA4,,SHKBP1,WDR61,,,SP100,,,,,,POLR2K,GLUD1,TADA3,,,,,,,,,,,,,,,TCIRG1,,,,,,,SNRK,,,,,,ZNF281,,ERP44,,,PKN1,,,,
,MIEN1,,,,,SPTY2D1,REST,,,RPS19,,,NR4A3,PRF1,,POU2F2,,NEMF,,,NDUFB1,,SIRT7,YTHDF2,,,SPCS2,,,,,,POLR2L,GNAI3,TAF7,,,,,,,,,,,,,,,TESC,,,,,,,SNW1,,,,,,ZNF701,,ESYT1,,,PLEKHA1,,,,
,MIF,,,,,SRM,RFC2,,,RPS24,,,NRROS,PRKAG1,,PPID,,NFKB2,,,NEDD1,,SKP1,ZDHHC4,,,SREK1,,,,,,PPIB,GNAS,TCEA1,,,,,,,,,,,,,,,TFDP2,,,,,,,SNX10,,,,,,ZNF814,,ESYT2,,,PLEKHA2,,,,
,MLF2,,,,,SRSF4,RICTOR,,,RPS26,,,NUB1,PSIP1,,PPP1CC,,NGDN,,,NEDD8,,SLC16A3,ZFAND2B,,,SRP14,,,,,,PPIP5K2,GNL1,TCIRG1,,,,,,,,,,,,,,,TFPT,,,,,,,SPPL3,,,,,,,,ETFA,,,PMF1,,,,
,MLLT6,,,,,SRSF7,RMDN1,,,RPS27L,,,NUBP2,PSMA6,,PPP1R10,,NGRN,,,NELFE,,SLC25A38,ZFP36,,,SRP9,,,,,,PPP1CA,GOLGA2,TERF1,,,,,,,,,,,,,,,THEMIS2,,,,,,,SPSB3,,,,,,,,ETFB,,,PNISR,,,,
,MNAT1,,,,,STAT1,RNF13,,,RPS4X,,,NUCKS1,PSMB10,,PPP1R12A,,NINJ1,,,NFKB1,,SLIRP,ZFP36L1,,,SRSF10,,,,,,PPP1R10,GOLGA7,TEX264,,,,,,,,,,,,,,,THOC2,,,,,,,SRFBP1,,,,,,,,EVI2B,,,PNRC2,,,,
