ATF1_(+),BATF_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREM_(+),CTCF_(+),CXXC1_(+),DRAP1_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),ETV3_(+),FLI1_(+),GATA3_(+),HMGA1_(+),HOXB2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),KLF11_(+),KLF3_(+),MAZ_(+),MXD1_(+),NFATC2_(+),NFATC3_(+),NFYB_(+),NFYC_(+),NR1H2_(+),PHF20_(+),RBPJ_(+),RELA_(+),RUNX1_(+),RXRB_(+),STAT1_(+),STAT2_(+),STAT6_(+),TAF6_(+),TBX21_(+),TFDP1_(+),TFDP2_(+),THAP1_(+),THRA_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB7A_(+),ZNF274_(+),ZNF518A_(+),ZNF580_(+),ZNF595_(+)
,,,STAT1,RNF13,,,,,,RPS4X,,NUCKS1,PSMB10,,PPP1R12A,,NINJ1,,,SLIRP,ZFP36L1,,,,SRSF10,,,,,,,,,,,,,,,,THOC2,,,,,,,,,SRFBP1,,,,,,,,,EVI2B,,PNRC2,,,,
,,,STMN1,RNF166,,,,,,RPS9,,NUDT21,PSMB2,,PRR5,,NME2,,,SLTM,ZNF335,,,,SRSF2,,,,,,,,,,,,,,,,TIA1,,,,,,,,,SRPRA,,,,,,,,,EXOC4,,POFUT2,,,,
,,,STX10,ROCK1,,,,,,RSF1,,NUDT22,PSMB4,,PRSS23,,NMUR1,,,SMAGP,ZNF394,,,,STAU2,,,,,,,,,,,,,,,,TLE1,,,,,,,,,SRSF9,,,,,,,,,EXOC5,,POLR1D,,,,
,,,STX16,RPL9,,,,,,RSL24D1,,NUTF2,PSMC4,,PSAP,,NNT,,,SMARCC2,,,,,STIP1,,,,,,,,,,,,,,,,TMEM106B,,,,,,,,,SSBP1,,,,,,,,,EXOSC6,,POLR2A,,,,
,,,SUN2,RPP21,,,,,,RTF1,,NXT1,PSMD14,,PSMA3,,NPM3,,,SMIM10L1,,,,,STK17A,,,,,,,,,,,,,,,,TMEM126B,,,,,,,,,SSH2,,,,,,,,,FAF1,,POLR2G,,,,
,,,SVIP,RPS16,,,,,,RUNX1,,ORMDL2,PSMD6,,PSMA4,,NPRL2,,,SMS,,,,,TBL1XR1,,,,,,,,,,,,,,,,TMEM19,,,,,,,,,STARD3NL,,,,,,,,,FAM107B,,POLR2J,,,,
,,,TAF10,RSBN1,,,,,,RUVBL1,,OXA1L,PSMD7,,PSMA5,,NR3C1,,,SNF8,,,,,TBRG1,,,,,,,,,,,,,,,,TMEM256,,,,,,,,,STK17A,,,,,,,,,FAM111A,,PPHLN1,,,,
,,,TAF1D,RSBN1L,,,,,,RWDD1,,OXLD1,PSMF1,,PSMB10,,NSUN6,,,SNRNP200,,,,,THRAP3,,,,,,,,,,,,,,,,TMX1,,,,,,,,,STMN1,,,,,,,,,FAM207A,,PPIA,,,,
,,,TBCB,RSRP1,,,,,,SAMSN1,,OXNAD1,PTBP1,,PSMB4,,NUDC,,,SNRPD1,,,,,TIPRL,,,,,,,,,,,,,,,,TNFRSF18,,,,,,,,,SUMO3,,,,,,,,,FAM32A,,PPP1CA,,,,
,,,TBL1XR1,S1PR5,,,,,,SAP30BP,,P4HB,PTPN18,,PSMD9,,NUDT22,,,SNRPD2,,,,,TM7SF3,,,,,,,,,,,,,,,,TOB1,,,,,,,,,SUPT7L,,,,,,,,,FAM50A,,PPP1CB,,,,
,,,TGFB1,SART1,,,,,,SAT1,,PAN3,PTPN4,,PSME1,,ODF2,,,SNRPN,,,,,TMCO1,,,,,,,,,,,,,,,,TOMM5,,,,,,,,,SVIP,,,,,,,,,FAM53C,,PPP2R5E,,,,
,,,TGFBR3,SBF2,,,,,,SCNM1,,PARP15,PTPN6,,PTBP3,,OXNAD1,,,SOCS3,,,,,TMEM170A,,,,,,,,,,,,,,,,TPR,,,,,,,,,SYTL3,,,,,,,,,FAM78A,,PPP6R1,,,,
,,,TIAL1,SCAND1,,,,,,SDF2,,PCMT1,PTPN7,,PTMA,,PABPC1,,,SP100,,,,,TNRC6B,,,,,,,,,,,,,,,,TRAPPC3,,,,,,,,,TACC1,,,,,,,,,FBXW5,,PRDX3,,,,
,,,TIMM10,SDF2L1,,,,,,SET,,PCNX4,PUF60,,PTPN4,,PABPC4,,,SP3,,,,,TOP2B,,,,,,,,,,,,,,,,TSEN15,,,,,,,,,TAF12,,,,,,,,,FCER1G,,PRF1,,,,
,,,TIMMDC1,SDHAF2,,,,,,SF3A1,,PDAP1,PXN,,PYCR2,,PAFAH1B2,,,ST3GAL5,,,,,TRA2A,,,,,,,,,,,,,,,,TSEN54,,,,,,,,,TAF13,,,,,,,,,FEZ1,,PRPF4B,,,,
,,,TINF2,SEC11A,,,,,,SF3A2,,PDIA3,QARS,,PYHIN1,,PAGR1,,,STARD7,,,,,TRMT112,,,,,,,,,,,,,,,,TSPAN14,,,,,,,,,TAF15,,,,,,,,,FIS1,,PRR13,,,,
,,,TMED9,SEC31A,,,,,,SF3B5,,PDIA4,R3HDM2,,QARS,,PCSK5,,,STOML2,,,,,TSR2,,,,,,,,,,,,,,,,TSPYL1,,,,,,,,,TC2N,,,,,,,,,FLNA,,PSMA4,,,,
,,,TMEM126A,SEC63,,,,,,SF3B6,,PEX2,RAB1B,,RAB10,,PDCD2,,,STX11,,,,,TUBA1C,,,,,,,,,,,,,,,,TUBA1B,,,,,,,,,TEX264,,,,,,,,,FNDC3B,,PSMB1,,,,
,,,TMEM167A,SH2D2A,,,,,,SH2D2A,,PFDN2,RAB6A,,RAB11FIP1,,PDIA4,,,SUDS3,,,,,TUBB4B,,,,,,,,,,,,,,,,TXNIP,,,,,,,,,TGFB1,,,,,,,,,FOSL2,,PSMB10,,,,
,,,TMEM230,SH3BP2,,,,,,SH3BGRL,,PFN1,RAB7A,,RAB22A,,PDIA6,,,SUMO3,,,,,TYROBP,,,,,,,,,,,,,,,,UBA6,,,,,,,,,TGOLN2,,,,,,,,,FPGS,,PSMC1,,,,
,,,TMF1,SIK3,,,,,,SH3GLB1,,PGAM1,RAB8B,,RAB29,,PDK3,,,SUPT3H,,,,,U2SURP,,,,,,,,,,,,,,,,UBB,,,,,,,,,THUMPD3-AS1,,,,,,,,,FXYD5,,PSMD2,,,,
,,,TNFAIP8,SLC25A39,,,,,,SIPA1,,PGK1,RABL2B,,RAF1,,PDS5A,,,SYK,,,,,UBA1,,,,,,,,,,,,,,,,UBE2N,,,,,,,,,TIMM17A,,,,,,,,,GAB3,,PSMD6,,,,
,,,TOP2B,SLC2A4RG,,,,,,SLC39A7,,PHLDA1,RACK1,,RALA,,PDXDC1,,,SYNE1,,,,,UBC,,,,,,,,,,,,,,,,UBL5,,,,,,,,,TM2D1,,,,,,,,,GAK,,PSMD8,,,,
,,,TRMT10C,SLC38A10,,,,,,SLU7,,PHTF1,RAD1,,RAN,,PET100,,,TANK,,,,,UBE2D2,,,,,,,,,,,,,,,,UCP2,,,,,,,,,TMBIM1,,,,,,,,,GALNT11,,PSMD9,,,,
,,,TRMT2A,SLC38A2,,,,,,SMARCA5,,PIK3CA,RALY,,RANGRF,,PEX2,,,TCEA1,,,,,UBE2E1,,,,,,,,,,,,,,,,UGGT1,,,,,,,,,TMCO1,,,,,,,,,GAR1,,PTGES3,,,,
,,,TSC22D3,SLF1,,,,,,SMC3,,PITPNC1,RAP1B,,RAPGEF6,,PFDN5,,,TEN1,,,,,UBE2G1,,,,,,,,,,,,,,,,URM1,,,,,,,,,TMED2,,,,,,,,,GATA3,,PTP4A2,,,,
,,,TUBA4A,SLFN5,,,,,,SMIM7,,POLR2I,RASSF3,,RASSF1,,PGAM1,,,TIMM13,,,,,UBE2M,,,,,,,,,,,,,,,,USP11,,,,,,,,,TMED9,,,,,,,,,GATAD2A,,PTPN2,,,,
,,,TUBB,SMG1,,,,,,SMS,,POLR2J3,RBMX2,,RBM25,,PHAX,,,TIMM50,,,,,UBE2S,,,,,,,,,,,,,,,,USP33,,,,,,,,,TMEM123,,,,,,,,,GCH1,,PTPN6,,,,
,,,U2AF1L4,SNAP23,,,,,,SNHG3,,POLR2L,RER1,,RBM3,,PHB2,,,TINF2,,,,,UBE2V1,,,,,,,,,,,,,,,,USP47,,,,,,,,,TMEM181,,,,,,,,,GDI2,,PTPRA,,,,
,,,UAP1,SNHG16,,,,,,SNRNP200,,POLR3E,RFC2,,RBMX,,PHF1,,,TM9SF3,,,,,UPF2,,,,,,,,,,,,,,,,USP8,,,,,,,,,TMEM243,,,,,,,,,GHITM,,PTPRC,,,,
,,,UBA2,SNHG5,,,,,,SNRPB,,POLR3GL,RFXANK,,RC3H2,,PHF11,,,TMA7,,,,,USP14,,,,,,,,,,,,,,,,VDAC1,,,,,,,,,TMEM248,,,,,,,,,GIGYF1,,PUF60,,,,
,,,UBALD2,SNTB2,,,,,,SNRPB2,,POP7,RHOC,,RCN2,,PHF14,,,TMED10,,,,,USP15,,,,,,,,,,,,,,,,VPS35,,,,,,,,,TMEM259,,,,,,,,,GINM1,,PYM1,,,,
,,,ULK3,SNX20,,,,,,SNRPD1,,PPM1A,RHOF,,RER1,,PHF3,,,TMED3,,,,,VBP1,,,,,,,,,,,,,,,,WAC,,,,,,,,,TMEM59,,,,,,,,,GK5,,RAB10,,,,
,,,UQCR11,SP110,,,,,,SNRPE,,PPP1R2,RHOG,,RHOC,,PHIP,,,TMED9,,,,,VPS4B,,,,,,,,,,,,,,,,WDR1,,,,,,,,,TMX1,,,,,,,,,GMIP,,RAB27A,,,,
,,,USB1,SPAG7,,,,,,SNRPG,,PPP4R3B,RNASEK,,RIOK1,,PI4KB,,,TMEM126A,,,,,WBP4,,,,,,,,,,,,,,,,WDR11,,,,,,,,,TMX4,,,,,,,,,GNAI2,,RAB2A,,,,
,,,USP36,SPPL2A,,,,,,SNX1,,PPT1,RNPEP,,RNPS1,,PIK3AP1,,,TMEM126B,,,,,WDR61,,,,,,,,,,,,,,,,WDR61,,,,,,,,,TNFRSF4,,,,,,,,,GNAS,,RAC2,,,,
,,,VDAC1,SPRY2,,,,,,SNX17,,PRKX,RPL12,,ROCK1,,PIK3R1,,,TMEM208,,,,,WIPF1,,,,,,,,,,,,,,,,WDR74,,,,,,,,,TPST2,,,,,,,,,GNB1,,RANGRF,,,,
,,,VOPP1,SQSTM1,,,,,,SP3,,PRPF19,RPL22L1,,RPL15,,PLEKHF1,,,TMOD3,,,,,XRCC5,,,,,,,,,,,,,,,,XPO1,,,,,,,,,TRAPPC10,,,,,,,,,GNG2,,RAPGEF6,,,,
,,,VPS4B,SREK1,,,,,,SPAG7,,PRPS2,RPL24,,RPL22L1,,PLGRKT,,,TNFAIP3,,,,,ZC3H18,,,,,,,,,,,,,,,,XRCC5,,,,,,,,,TRAPPC5,,,,,,,,,GNL1,,RASSF5,,,,
,,,WAPL,SRP19,,,,,,SPPL3,,PRRC2C,RPL27A,,RPL35,,PMPCB,,,TNIP1,,,,,ZC3HAV1,,,,,,,,,,,,,,,,XRCC6,,,,,,,,,TRIM33,,,,,,,,,GOLIM4,,RASSF7,,,,
,,,WDR55,SRSF1,,,,,,SRP14,,PRSS23,RPL28,,RPN2,,PNN,,,TOMM22,,,,,ZFP36L2,,,,,,,,,,,,,,,,ZBTB1,,,,,,,,,TSPAN14,,,,,,,,,GPATCH4,,RB1CC1,,,,
,,,YBX1,SRSF6,,,,,,SSR3,,PSMA4,RPL29,,RPS16,,PNO1,,,TPP2,,,,,ZFR,,,,,,,,,,,,,,,,ZFAND6,,,,,,,,,TSPAN17,,,,,,,,,GPBP1,,RBBP4,,,,
,,,ZBTB20,SRSF9,,,,,,STIM2,,PSMA6,RPL36,,RPS19,,PNPLA8,,,TRAPPC4,,,,,ZFX,,,,,,,,,,,,,,,,ZNF480,,,,,,,,,TSPYL1,,,,,,,,,GPR108,,RBL2,,,,
,,,ZBTB7A,SSBP4,,,,,,STK10,,PTBP3,RPL37,,RPS27L,,POLG,,,TRG-AS1,,,,,ZNF410,,,,,,,,,,,,,,,,ZNF638,,,,,,,,,TSSC4,,,,,,,,,GPRIN3,,RBM17,,,,
,,,ZEB2,SSR1,,,,,,SUB1,,PTCH2,RPL5,,RPS6KA1,,PPA2,,,TSEN54,,,,,ZNF7,,,,,,,,,,,,,,,,,,,,,,,,,TSTA3,,,,,,,,,GPS1,,RBM22,,,,
,,,ZMAT3,SSR3,,,,,,SUCLG1,,PTPN1,RPL7A,,RSRP1,,PPM1G,,,TSG101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTC17,,,,,,,,,GPSM3,,RBM25,,,,
,,,ZNF655,SSR4,,,,,,SYNGR1,,PTPRA,RPLP0,,S100A10,,PPP1R15A,,,TSNAX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TTC19,,,,,,,,,GRIPAP1,,RBM7,,,,
,,,ZNF706,ST6GALNAC6,,,,,,TAF12,,RAB10,RPN2,,S100A11,,PPP1R35,,,TTC17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUBA1B,,,,,,,,,GRK2,,RER1,,,,
,,,,STARD3NL,,,,,,TAF7,,RAB1B,RPS15A,,S100A9,,PPP1R7,,,TUBA1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TUBB,,,,,,,,,GRK6,,REXO4,,,,
,,,,STAU2,,,,,,TGFB1,,RAB27A,RPS24,,S1PR4,,PPP1R9B,,,UBE2L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2F,,,,,,,,,GRSF1,,RGS14,,,,
,,,,STK16,,,,,,THEM4,,RAB4A,RPS25,,SCNM1,,PPP2CA,,,UBXN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2G2,,,,,,,,,GSTO1,,RHBDF2,,,,
,,,,STK26,,,,,,THUMPD3-AS1,,RAB4B,RPS3A,,SCP2,,PPP3CA,,,UNC13D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBE2Q2,,,,,,,,,GSTP1,,RHOG,,,,
,,,,STOM,,,,,,TIMM13,,RAE1,RPS4X,,SDF2L1,,PPP4R3A,,,UQCRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UBN1,,,,,,,,,GTF2I,,RIN3,,,,
,,,,STT3B,,,,,,TIMM17B,,RALA,RPS4Y1,,SDHB,,PRDX3,,,URM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UPF3A,,,,,,,,,GTF3C6,,RIT1,,,,
,,,,STX10,,,,,,TIMM8B,,RALBP1,RPS5,,SEC23IP,,PRF1,,,USB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UTP18,,,,,,,,,GZMB,,RLIM,,,,
,,,,STX16,,,,,,TKT,,RAMP1,RSL24D1,,SEC62,,PRKAG2,,,USP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAC,,,,,,,,,H1FX,,RNF10,,,,
,,,,SUN2,,,,,,TMA7,,RAN,S100B,,SEC63,,PRPF38B,,,USP3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAS,,,,,,,,,H3F3A,,ROCK1,,,,
,,,,SYNCRIP,,,,,,TMEM230,,RAP1GAP2,SAMSN1,,SEMA4D,,PRR5,,,USP36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDR46,,,,,,,,,H3F3B,,RPA2,,,,
,,,,SYNE1,,,,,,TMEM59,,RBM38,SCAND1,,SFI1,,PSMA4,,,VMA21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDR70,,,,,,,,,HAX1,,RPL14,,,,
,,,,SZRD1,,,,,,TMSB4X,,RBM4,SCCPDH,,SFT2D1,,PSMA5,,,WDR74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDR74,,,,,,,,,HBS1L,,RPL22L1,,,,
,,,,TADA3,,,,,,TNIP1,,RBM42,SDF2,,SH2D1A,,PSMB1,,,WDSUB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDR82,,,,,,,,,HEBP2,,RPL7L1,,,,
,,,,TAGAP,,,,,,TOMM22,,RBX1,SDHD,,SHISA5,,PSMD13,,,YWHAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDR83OS,,,,,,,,,HELZ,,RPS27L,,,,
,,,,TANK,,,,,,TOMM5,,RC3H2,SEC61G,,SHKBP1,,PSMD8,,,YWHAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XRN1,,,,,,,,,HERPUD2,,RPS6KB2,,,,
,,,,TAX1BP1,,,,,,TPM3,,RECQL,SERF2,,SKAP2,,PSTPIP1,,,ZBTB11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YES1,,,,,,,,,HIGD2A,,RSBN1,,,,
,,,,TBC1D5,,,,,,TPST2,,RELA,SERPINB1,,SLC25A36,,PTGDS,,,ZC3H15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YWHAB,,,,,,,,,HLA-F,,S1PR4,,,,
,,,,TBL1XR1,,,,,,TRAPPC1,,RFC1,SERTAD3,,SLTM,,PTP4A2,,,ZC3HAV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZBTB1,,,,,,,,,HMGN3,,SAMD9,,,,
,,,,TBX21,,,,,,TRMT112,,RGL4,SF3B1,,SMARCE1,,PTPN4,,,ZEB2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZBTB16,,,,,,,,,HNRNPC,,SAR1A,,,,
,,,,TIMMDC1,,,,,,TSPAN31,,RGS10,SF3B5,,SMC4,,PXN,,,ZFP36L1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZC3H13,,,,,,,,,HNRNPD,,SCLT1,,,,
,,,,TMBIM6,,,,,,TSR2,,RHOA,SFT2D1,,SMS,,R3HDM4,,,ZFP91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF276,,,,,,,,,HNRNPH3,,SEC22B,,,,
,,,,TMEM106B,,,,,,TXNDC17,,RIOK1,SH2D2A,,SNHG3,,RAB1B,,,ZNF26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF511,,,,,,,,,HNRNPK,,SEC24C,,,,
,,,,TMEM14B,,,,,,TXNRD1,,RIOK3,SLC39A8,,SNX6,,RAC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF655,,,,,,,,,HNRNPM,,SEC31A,,,,
,,,,TMEM165,,,,,,UBA52,,RLIM,SMIM7,,SPCS2,,RAD21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZYX,,,,,,,,,HNRNPR,,SECISBP2L,,,,
,,,,TMEM170A,,,,,,UBB,,RNASEH2B,SMS,,SREK1,,RAP1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOPX,,SERBP1,,,,
,,,,TMEM248,,,,,,UBE2K,,ROMO1,SNAPC5,,SRP19,,RASGRP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HPS1,,SERINC1,,,,
,,,,TMEM259,,,,,,UBE2N,,RPA3,SNHG12,,SRP72,,RBM33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSBP1,,SET,,,,
,,,,TMEM35B,,,,,,UBE2V2,,RPIA,SNRPB,,SRSF1,,RBM39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSD17B11,,SF3A2,,,,
,,,,TMF1,,,,,,UBL5,,RPL21,SNRPC,,SRSF10,,RBM42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSF1,,SF3B1,,,,
,,,,TOX,,,,,,UFC1,,RPL22,SNRPD1,,SSB,,RCC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSP90AA1,,SFI1,,,,
,,,,TP53I13,,,,,,UQCR11,,RPL23,SNX6,,SSBP4,,RCSD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSP90AB1,,SFPQ,,,,
,,,,TPRKB,,,,,,UQCRQ,,RPL32,SPAG7,,STIP1,,RER1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPA4,,SFSWAP,,,,
,,,,TPST2,,,,,,URM1,,RPL34,SRRM1,,STK17A,,RFC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPA8,,SFT2D2,,,,
,,,,TSC22D3,,,,,,UROS,,RPL36,SSR1,,SUGT1,,RFXANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID1,,SH2D2A,,,,
,,,,TSNAX,,,,,,USP15,,RPL41,SSU72,,SYNE2,,RGS10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IER5,,SH3BP2,,,,
,,,,TSTA3,,,,,,USP16,,RPN1,SUB1,,SZRD1,,RGS19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFFO1,,SLC25A1,,,,
,,,,TTC1,,,,,,UTP18,,RPS13,SUMO3,,TAF12,,RGS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFNGR1,,SLC52A2,,,,
,,,,TTC39C,,,,,,UXT,,RPS19,SYTL1,,TAF1D,,RIC8A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IL32,,SMAP2,,,,
,,,,TXNL1,,,,,,VOPP1,,RPS20,TAOK3,,TBK1,,RIOK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILF3,,SMARCA2,,,,
,,,,UBE2I,,,,,,VPS25,,RPS25,TCEAL8,,TBL1XR1,,RIPK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ING2,,SMARCA4,,,,
,,,,UBE2S,,,,,,VTI1A,,RPS27,TCP1,,TBRG1,,RNASET2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IREB2,,SMIM19,,,,
,,,,UBXN1,,,,,,WDR83OS,,RPS29,TERF1,,TCP1,,RNF10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRF1,,SNHG6,,,,
,,,,USE1,,,,,,XIST,,RSBN1,TFDP1,,THOC7,,RNF125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRF2,,SNRNP200,,,,
,,,,USP34,,,,,,YBX1,,RUNX1,THUMPD3-AS1,,THRAP3,,RNF213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IRF2BP2,,SPN,,,,
,,,,USP7,,,,,,YWHAE,,RWDD4,TIMM17B,,TIMM17B,,RNF5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITCH,,SPON2,,,,
,,,,VPS26B,,,,,,YWHAZ,,S100A8,TIMMDC1,,TINF2,,RNF7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITGB1,,SPSB3,,,,
,,,,VPS37B,,,,,,YY1,,S100A9,TMEM109,,TLE4,,RNMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITGB2,,SREK1IP1,,,,
,,,,VPS51,,,,,,ZFYVE16,,S100B,TMEM230,,TM2D1,,RNPEPL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITM2A,,SRP9,,,,
,,,,WAC,,,,,,ZNF281,,SASH3,TMEM35B,,TMBIM6,,RORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ITM2B,,SRRM1,,,,
,,,,WAS,,,,,,ZNF493,,SAT1,TMIGD2,,TMC8,,RPAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JTB,,SRRM2,,,,
,,,,WBP2,,,,,,ZNF585A,,SCAMP3,TMSB10,,TMED5,,RPAP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUN,,SSR2,,,,
,,,,WDR1,,,,,,ZNHIT1,,SDCBP,TMUB1,,TMEM126B,,RPIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JUND,,STK4,,,,
,,,,WDR20,,,,,,,,SDHB,TOB2,,TMEM219,,RPL10A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KANSL1,,STRIP1,,,,
,,,,WDR55,,,,,,,,SEC31A,TPD52L2,,TMEM256,,RPL34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCNAB2,,STXBP2,,,,
,,,,WDR61,,,,,,,,SELPLG,TPGS1,,TMSB4X,,RPL8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KCTD20,,STYXL1,,,,
,,,,WIPF1,,,,,,,,SEPHS2,TSTD1,,TNFAIP8,,RPS11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM2A,,SUCLA2,,,,
,,,,XCL2,,,,,,,,SERP1,TTC14,,TNFSF12,,RPS6KA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM5B,,SUCLG2,,,,
,,,,YTHDC1,,,,,,,,SERTAD1,TYROBP,,TNRC6B,,RSBN1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KDM5C,,SUN2,,,,
,,,,ZAP70,,,,,,,,SETD5,UBA1,,TOMM22,,RSBN1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KIN,,SUPT4H1,,,,
,,,,ZBTB20,,,,,,,,SF3A3,UBA52,,TOP2B,,RUNX3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLF10,,SUPT5H,,,,
,,,,ZFP36L2,,,,,,,,SFI1,UBAC2,,TOR2A,,RWDD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLF12,,SYNJ2BP,,,,
,,,,ZNF276,,,,,,,,SFPQ,UBB,,TP53I13,,S100A6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLHL28,,SYNRG,,,,
,,,,ZNF655,,,,,,,,SFR1,UBE2F,,TPGS1,,S1PR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLRD1,,TADA3,,,,
,,,,ZNF706,,,,,,,,SFT2D1,UBE2J2,,TPT1,,S1PR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KPNA4,,TAF12,,,,
,,,,ZNF791,,,,,,,,SH3BGRL,UBE2Q1,,TRA2A,,SAFB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAMP1,,TATDN1,,,,
,,,,,,,,,,,,SLAIN2,UBE2R2,,TRA2B,,SAMHD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LASP1,,TBC1D9B,,,,
,,,,,,,,,,,,SLAMF7,UBL5,,TRIM22,,SDF4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBH,,TBPL1,,,,
,,,,,,,,,,,,SLC27A3,UBLCP1,,TSC22D3,,SDHAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LENG8,,THAP1,,,,
