ATF1_(+),ATF3_(+),ATF4_(+),ATF5_(+),BACH1_(+),BCL11B_(+),BCLAF1_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CHD1_(+),CLOCK_(+),CREB1_(+),CREB3_(+),CREB3L2_(+),CREM_(+),DBP_(+),E2F3_(+),E2F4_(+),E2F6_(+),EGR1_(+),ELF1_(+),ELF2_(+),ELF4_(+),ELK1_(+),ELK3_(+),ELK4_(+),EOMES_(+),EP300_(+),ESRRA_(+),ETS1_(+),ETV3_(+),ETV6_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXJ2_(+),FOXO1_(+),GABPA_(+),GABPB1_(+),GATA3_(+),GATAD1_(+),HDAC2_(+),HMGA1_(+),HOXA10_(+),HTATIP2_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),IRF1_(+),IRF4_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF10_(+),KLF12_(+),KLF3_(+),KLF9_(+),KMT2B_(+),MAFF_(+),MAFG_(+),MAFK_(+),MAX_(+),MAZ_(+),MBD2_(+),MECP2_(+),MLX_(+),MYC_(+),MZF1_(+),NFATC2_(+),NFIL3_(+),NFKB1_(+),NFKB2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PHF1_(+),PHF20_(+),POU2F1_(+),PURA_(+),RARA_(+),REL_(+),RELB_(+),RFX5_(+),RFXANK_(+),RXRA_(+),RXRB_(+),SATB1_(+),SMARCC2_(+),SP1_(+),SP3_(+),SREBF2_(+),STAT1_(+),TBP_(+),TBX21_(+),TCF12_(+),TCF3_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),THAP1_(+),THAP11_(+),USF2_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB11_(+),ZBTB14_(+),ZBTB21_(+),ZBTB25_(+),ZBTB33_(+),ZBTB37_(+),ZBTB7A_(+),ZEB1_(+),ZFX_(+),ZFY_(+),ZNF100_(+),ZNF25_(+),ZNF267_(+),ZNF407_(+),ZNF431_(+),ZNF518A_(+),ZNF580_(+),ZNF611_(+),ZNF740_(+),ZNF770_(+)
,POLE4,,,PRDM1,,EEF1D,TFG,KCMF1,ELP5,RBM27,,,GALK2,RPS24,CSNK1A1,,,,,MARK3,COX11,NUMA1,,,,,EMC4,KIDINS220,,CANX,,,FBXO6,CTBP2,RPL38,LMNB1,,,ZNF592,PHLDA1,,NEK7,,,,,IRAK4,,,SNRPA,COA6,TTC19,DCAF15,,DRAP1,CLIC1,DHX40,BCL7C,,,,,IRF2BP1,,,,,HNRNPA2B1,LRPAP1,JARID2,,PITPNA-AS1,,TMEM192,UTP23,MDFIC,GABPB1,HMGB2,WDR37,BOLA3,,,,GSPT1,,STAT5B,,SLF1,,,,,WDFY2,,,TAF1,COLGALT1,,DPP3,,,,,,,,SSR2,MMADHC,DDA1,CHURC1,MRPS10,,,SYTL2,,,DGKZ,,TMEM168,,,,PPP4R2,,,U2AF2,FRG1,,,
,POMC,,,PRKAB2,,EEF2,TGFBR1,KHSRP,EMC4,RBM39,,,GAPVD1,RPS27,CSNK1D,,,,,MBD3,COX17,NUMB,,,,,EMC9,KIF21A,,CAPN1,,,FBXO7,CTR9,RPS10,LSM14A,,,ZNF675,PIK3R5,,NFAT5,,,,,IRF2,,,SNRPB,COG3,TWF1,DCAF7,,DTHD1,CLNS1A,DIAPH2,BCLAF1,,,,,IRS2,,,,,HNRNPF,LYRM7,JAZF1,,PLP2,,TMEM260,VEGFA,MED13,GADD45A,HMGN2,WDR48,BORCS6,,,,GTDC1,,STT3A,,SMIM12,,,,,WIPF2,,,TBC1D15,COLGALT2,,DPP8,,,,,,,,STRBP,MOGS,DDB1,CIB1,MSANTD4,,,TFRC,,,DHX33,,TMOD3,,,,PPP6R3,,,UBA1,FUNDC1,,,
,PPIB,,,PRKAR1A,,EFTUD2,THOC2,KIAA0355,EMP3,RCOR1,,,GARS,RPS4X,CSNK1G2,,,,,MBD6,COX20,NUP153,,,,,EML4,KLF3,,CAPN7,,,FCER1G,CTSD,RPS12,LUZP1,,,,PIM1,,NFIA,,,,,ITGA4,,,SNRPB2,COMMD5,UBC,DCLRE1C,,DTX3L,CLSTN3,DIS3L,BCR,,,,,ITGAL,,,,,HNRNPR,MAGOH,JMY,,POC1B,,TNFRSF1A,VPS26A,METTL21A,GAS5,HNRNPA0,WDR7,BPGM,,,,GTF2A1,,STX11,,SNHG5,,,,,WWP2,,,TBC1D22A,COMMD1,,DSTN,,,,,,,,STX18,MPG,DDIT4,CIITA,MSN,,,TGFBR2,,,DIAPH1,,TNPO1,,,,PRDM2,,,UBE2D2,FXYD5,,,
,PPP1CC,,,PRPF39,,EID2,THOC5,KIR3DL2,ENG,REL,,,GCH1,RPS4Y1,CSRNP1,,,,,MCL1,COX6A1,OAZ2,,,,,ENC1,KMT5A,,CAPRIN1,,,FDFT1,CTSW,RPS17,LYST,,,,PMAIP1,,NGRN,,,,,ITGAV,,,SNU13,COMMD8,UBE2F,DCTN2,,DUSP16,CMTM6,DLD,BDP1,,,,,ITPR2,,,,,HP1BP3,MALSU1,KAT6B,,POLE4,,TNIP1,VPS37B,MEX3C,GAS7,HNRNPA2B1,XPO1,BPTF,,,,H2AFZ,,STX6,,SOAT1,,,,,ZFYVE27,,,TBL1X,COMMD9,,DTX2,,,,,,,,SUSD6,MRPL20,DDT,CIR1,MTF2,,,THAP9-AS1,,,DIMT1,,TOB2,,,,PRKAA1,,,UBE2Q1,FZR1,,,
,PPP1R15A,,,PRPF4B,,EIF1,THUMPD3,KLHL24,ENOX2,RFC1,,,GGPS1,RPS5,CTBP1,,,,,MDM4,CPNE1,OPA1,,,,,ENDOV,KPNA3,,CARD16,,,FDPS,CUL1,RPS27,MAD2L1BP,,,,PNRC2,,NOP14-AS1,,,,,ITGB1,,,SNX12,COPS5,UBXN2B,DDX1,,DVL3,CNDP2,DLST,BET1L,,,,,JAKMIP2,,,,,HPGD,MALT1,KCMF1,,POLR2L,,TP53BP1,WDR89,MIER1,GBP2,HNRNPF,XRN1,BRAF,,,,HBP1,,TAGAP,,ST8SIA4,,,,,ZNF100,,,TGIF2,COPB1,,DYNLL1,,,,,,,,SYF2,MRPL3,DDX18,CKAP2,MTHFD2,,,TM9SF3,,,DIS3,,TRANK1,,,,PRR5L,,,UBE2Q2,GABPB2,,,
,PPP2R5C,,,PRR14L,,EIF1B,TMEM161B,KRR1,EPC2,RFTN1,,,GKAP1,RPS6,CTDP1,,,,,MED11,CPNE3,OPA3,,,,,ENG,KPNA6,,CARD8,,,FGD3,CUL2,RSL24D1,MAPK1IP1L,,,,POLDIP2,,NOSIP,,,,,ITSN2,,,SNX9,COPZ1,UGP2,DDX23,,DYNLT1,CNOT2,DMAP1,BEX4,,,,,JPX,,,,,HSPB11,MAP3K7,KCTD20,,PPCDC,,TRAF6,WIPI1,MIR155HG,GCC2,HNRNPK,YARS2,BRD1,,,,HCCS,,THAP5,,STAG2,,,,,ZNF134,,,TKT,COPS4,,EEA1,,,,,,,,TAF11,MRPL33,DDX21,CLCN7,MTIF3,,,TMA16,,,DNAJB4,,TTC39B,,,,PSTPIP2,,,UBXN6,GCLM,,,
,PRKCSH,,,PSMA7,,EIF2S1,TNK2,KXD1,EPSTI1,RFX1,,,GLCCI1,RPS7,CTDSP2,,,,,MED13,CPSF2,ORC4,,,,,ENPP5,KRAS,,CARF,,,FGR,CUTA,SART1,MAPRE2,,,,POM121C,,NR4A3,,,,,JADE1,,,SOS2,COQ10A,UIMC1,DDX46,,DYRK1A,CNOT8,DMTF1,BHLHE40,,,,,KATNA1,,,,,IFNAR2,MARCH6,KDM3B,,PPIB,,TRERF1,XPO6,MORF4L2,GEMIN8,HNRNPR,YLPM1,BRD2,,,,HEATR5A,,TIMM9,,STK40,,,,,ZNF512,,,TLE1,COPS7A,,EFCAB14,,,,,,,,TBC1D22A,MRPL50,DDX39A,CLN3,MTPN,,,TMCC1,,,DNAJB6,,TXLNG,,,,PTGER4,,,UHMK1,GFER,,,
,PSMB7,,,PUM1,,EIF3A,TOP1,LARS,ERO1B,RGPD5,,,GMDS,RREB1,CTDSPL2,,,,,MED21,CPSF7,ORC5,,,,,EOMES,LARP7,,CARS,,,FHL3,CX3CR1,SDHC,MARCH3,,,,PPIG,,NRDE2,,,,,JAK1,,,SPPL3,COQ4,UNKL,DDX58,,DYRK4,CNPPD1,DNAJA3,BICDL1,,,,,KCTD13,,,,,IFT80,MARK3,KIAA0232,,PPP1CC,,TRIP4,YARS,MRPL39,GLS,HOMEZ,ZDHHC21,BRD7,,,,HERC5,,TMCO3,,STX11,,,,,ZNF646,,,TMCO3,COQ2,,EGLN2,,,,,,,,TBC1D5,MRPL54,DDX39B,CLOCK,NBN,,,TNFRSF9,,,DNAJC15,,TXNRD1,,,,PTPN1,,,URM1,GGCT,,,
,PSMG3,,,RAB21,,EIF3K,TP53BP1,LEO1,ERP44,RICTOR,,,GMPR2,RSL1D1,CTNNB1,,,,,MED23,CRBN,OSER1,,,,,EPHA1-AS1,LBR,,CASC4,,,FKBP1A,CXCR3,SEH1L,MARCH7,,,,PPP1R35,,NSRP1,,,,,JMJD1C,,,SREK1,COQ7,UQCRC2,DDX60,,EBP,CNPY3,DNAJB9,BIN1,,,,,KDM7A,,,,,IKZF1,MAT2A,KIAA2026,,PPP2CA,,TRMT11,YTHDF3,MRPL44,GNA13,HOXB4,ZEB2,BRI3,,,,HINT3,,TMEM123,,STYXL1,,,,,ZNF669,,,TMEM39B,COTL1,,EGR2,,,,,,,,TEN1,MRPS12,DDX49,CLPX,NCALD,,,TNIK,,,DNAJC27,,U2AF1,,,,QKI,,,USF3,GGNBP2,,,
,PTAR1,,,RALBP1,,EIF3L,TPR,LGALS8,ESD,RNF216,,,GOLPH3,RTN4,CTR9,,,,,MED31,CRCP,P2RX4,,,,,ERAP1,LEPROTL1,,CASD1,,,FLI1,CXCR4,SELK,MCL1,,,,PPP2CB,,NTPCR,,,,,JOSD1,,,SRRM1,COX17,VAPB,DDX60L,,ECI1,COMMD1,DNAJC1,BIN3,,,,,KIAA1586,,,,,IL17RA,MAX,KIF13B,,PRELID1,,TRNT1,ZFAND6,MRPL52,GOLGA7,HP1BP3,ZNF195,BRWD1,,,,HLA-DRA,,TNFAIP3,,TAP1,,,,,,,,TMEM42,COX17,,EIF3L,,,,,,,,TGDS,MRPS24,DEF8,CLSTN1,NCK1,,,TOPORS,,,DNAJC5,,UBE2Q2,,,,RAB1A,,,UTP23,GLI4,,,
,PTEN,,,RAMP1,,EIF4A2,TRAPPC2,LIMD2,ETV6,RNF220,,,GORASP2,RWDD1,CWC25,,,,,MED8,CREB1,PAFAH1B1,,,,,ERCC6,LFNG,,CASP1,,,FLOT1,CXXC5,SERBP1,METRNL,,,,PPP2R2A,,NUDT15,,,,,KANSL1,,,SRSF7,COX20,VOPP1,DGKZ,,EED,COMMD2,DNAJC13,BIRC2,,,,,KIF20B,,,,,IL18R1,MBD2,KIF2A,,PRKCSH,,TSC22D1,ZFAS1,MTSS1,GOLGA8A,HPS1,ZNF264,BTAF1,,,,HMGB1,,TNFAIP8,,TBC1D20,,,,,,,,TMEM64,COX6C,,EIF4E,,,,,,,,THAP11,MRPS31,DENND6A,CLTA,NCK2,,,TRAF2,,,DNAL4,,UBE3C,,,,RAB21,,,UTP3,GMCL1,,,
,PURB,,,RANBP9,,EIF4E,TRIM4,LINC01003,EXOSC6,ROCK1,,,GOSR1,SAP18,CX3CR1,,,,,METRN,CREBRF,PARP8,,,,,ERCC6L2,LIAS,,CASP10,,,FLOT2,CYB5D2,SERTAD1,MICAL2,,,,PPP3CC,,ORC5,,,,,KAT6A,,,SSR1,COX7B,WBP4,DHTKD1,,EEFSEC,COMMD3,DNTTIP1,BIRC3,,,,,KIF21A,,,,,ING4,MBNL1,KLF12,,PRKD2,,TTC31,ZFPM1,NAA35,GOLGA8B,HPS5,ZNF394,BTD,,,,HMGXB3,,TNFRSF9,,TGDS,,,,,,,,TRIP12,CPSF6,,EIF4E2,,,,,,,,THUMPD3,MRPS33,DESI2,CLTC,NDFIP1,,,TRAF3,,,DNMT1,,USP3,,,,RAB8B,,,VCPKMT,GNAS,,,
,QARS,,,RANGAP1,,EIF4EBP2,TRIM59,LMNB2,F8A1,RRS1,,,GPR108,SDHAF3,CXCR4,,,,,METTL7A,CREM,PAXBP1,,,,,ERF,LIMK1,,CASP3,,,FOPNL,CYTH2,SF3A3,MOB4,,,,PPP3R1,,ORMDL1,,,,,KCMF1,,,STK40,COX8A,XPO6,DMAP1,,EGR1,COMMD5,DOK1,BIRC6,,,,,KIZ,,,,,INIP,MDM4,KLHL2,,PRMT1,,TTC38,ZNF331,NAMPT,GORAB,HS1BP3,ZNF426,BTF3,,,,HMGXB4,,TP53BP2,,TGOLN2,,,,,,,,TRPM7,CREBRF,,EIF4E3,,,,,,,,TIMM23,MSL3,DHRS7,CMC4,NDUFS1,,,TRAPPC11,,,DOCK8,,UTP23,,,,RAB9A,,,VEZF1,GNPNAT1,,,
,RABL3,,,RBM12,,EIF4G1,TSPYL2,LONP1,FADS1,RSRP1,,,GPR155,SEC22B,CYC1,,,,,METTL8,CRIP1,PCBP1-AS1,,,,,ETHE1,LIN7C,,CASP8,,,FOS,DAZAP2,SF3B5,MON2,,,,PPP4R2,,OTUD4,,,,,KCNQ1OT1,,,STRAP,CREB1,ZBTB16,DNAJB6,,EHBP1,COPS3,DPP7,BLOC1S1,,,,,KLHDC10,,,,,IPO7,METTL2B,KLHL36,,PRPF19,,TTC39B,ZNF395,NCOA3,GPBP1,HSP90AB1,ZNF43,BTG1,,,,HNRNPAB,,TRAM1,,TIFA,,,,,,,,TSTD2,CRLF3,,EIF4G3,,,,,,,,TMEM101,MTHFS,DMAP1,CMIP,NFATC2IP,,,TRPM7,,,DPP8,,VPS45,,,,RAD21,,,VKORC1,GOLGA1,,,
,RACK1,,,RBM15,,EIF4G2,TTC1,LPGAT1,FAIM,RUFY2,,,GPX4,SERINC3,CYCS,,,,,MGMT,CRIPT,PCMTD2,,,,,ETNK1,LINC00339,,CAST,,,FOSB,DBF4,SKIV2L,MORF4L2,,,,PRKY,,P2RX7,,,,,KCTD20,,,SUMO1,CREM,ZC3H8,DNAJC15,,EHD4,COPS7B,DR1,BLOC1S4,,,,,KMT2A,,,,,IPO8,METTL9,KMT2A,,PSMA3,,TWISTNB,,NCOA7,GPCPD1,HSPB11,ZNF431,BTG2,,,,HNRNPL,,TSPYL2,,TMEM109,,,,,,,,TUBD1,CROT,,ELF4,,,,,,,,TMEM161B-AS1,MTX1,DNAJB4,CMTM6,NFX1,,,TSGA10,,,DRAXIN,,WRNIP1,,,,RAF1,,,WRNIP1,GOLT1B,,,
,RAD50,,,RBM33,,EIF4H,TTC14,LRRFIP2,FAM117A,RWDD1,,,GRAMD1A,SLC35B3,CYSTM1,,,,,MIB2,CRK,PEX26,,,,,EVL,LINC00623,,CASZ1,,,FOXN3,DBNL,SLC1A5,MRPL13,,,,PRNP,,PAAF1,,,,,KDM2A,,,TAF1,CRIPT,ZFAND2B,DNAJC19,,EIF2AK2,COPS8,DSTN,BLVRA,,,,,KMT2B,,,,,IQGAP2,MFSD14B,KMT2C,,PSMB1,,UPP1,,NCS1,GPR108,HSPBAP1,ZNF564,BTG3,,,,HNRNPLL,,UBE2F,,TMEM116,,,,,,,,TXLNG,CRTAM,,ENOSF1,,,,,,,,TMEM42,NABP2,DNAJB6,CMTR1,NIPA2,,,TTC17,,,DRG1,,WWOX,,,,RALA,,,XIST,GORASP2,,,
,RAP1B,,,RCOR1,,EIF5,TTF1,LSM10,FAM118A,SATB1,,,GRK6,SLC38A5,CYTIP,,,,,MIR155HG,CSDE1,PEX3,,,,,EXOC5,LINC01138,,CBWD3,,,FOXO3,DCAF10,SLC25A22,MRPL44,,,,PRRC2C,,PATL2,,,,,KDM3A,,,TARS,CRKL,ZFAND3,DNM1L,,EIF2AK3,COPZ1,DSTYK,BNIP1,,,,,KPNA2,,,,,IRF2,MFSD6,KMT2E,,PSMC4,,VPS4A,,NDE1,GPR137B,IFITM1,ZNF638,BUB3,,,,HPGD,,UBXN7,,TMEM223,,,,,,,,UBN2,CSK,,ENPP5,,,,,,,,TMEM50A,NANS,DNAJC1,CMTR2,NIT2,,,UBA6,,,DTX2,,WWP2,,,,RAMP1,,,XPA,GPBP1L1,,,
,RAPGEF1,,,RERE,,ELF1,U2SURP,LSM14A,FAM126A,SCAF4,,,GTF2F2,SLC44A1,DALRD3,,,,,MKNK1,CSNK1A1,PHF20,,,,,EXOSC5,LLPH,,CBWD5,,,FRAT2,DCAF5,SLC25A3,MRPL55,,,,PTGES3,,PAXBP1,,,,,KDM6A,,,TAZ,CRLF3,ZFPM1,DNPEP,,EIF2B1,COQ5,DTNBP1,BNIP3L,,,,,KPNA6,,,,,ISY1,MID1IP1,LCORL,,PURB,,YES1,,NDUFAF2,GPS2,IFITM3,ZNF669,BUD31,,,,HSD17B7,,USP12,,TMEM39A,,,,,,,,UBXN2A,CSNK1A1,,EPC2,,,,,,,,TNK2,NCBP2,DNAJC10,CNIH4,NNT-AS1,,,UBE2R2,,,DUS1L,,XPO1,,,,RAP1B,,,XRCC5,GPCPD1,,,
,RARS,,,RFFL,,ELL2,UBA6,LSM5,FAM177A1,SENP1,,,GTF2IRD2,SND1,DCTN6,,,,,MRPL17,CSNK1G2,PHTF2,,,,,FAF1,LPXN,,CBX3,,,FUCA1,DCAF6,SLC35A4,MTHFS,,,,PTRH2,,PCBD2,,,,,KIAA0232,,,TBCK,CSGALNACT2,ZMIZ1,DOCK5,,EIF2B2,COQ7,DUSP1,BOD1L1,,,,,KRR1,,,,,ITGA4,MIEF1,LEPROTL1,,QARS,,YWHAZ,,NDUFV2,GRASP,IGFBP7,ZNF707,BZW1,,,,HSDL2,,UTS2,,TMX2,,,,,,,,USP21,CSTF2T,,ERBB2,,,,,,,,TOMM40,NDUFA13,DNAJC7,CNNM3,NPAT,,,UBE2W,,,DUT,,YPEL2,,,,RAPGEF6,,,YTHDF2,GPN1,,,
,RASA3,,,RFK,,ELOF1,UBB,LSM8,FAM200B,SEPT7,,,GTF3A,SNF8,DDX17,,,,,MRPL32,CSNK2A2,PI4KA,,,,,FAM111A,LRRC28,,CCAR1,,,FXN,DCXR,SLC35B3,MTRNR2L8,,,,PUM1,,PCK2,,,,,KIF5B,,,TBL1X,CSNK1E,ZNF160,DOCK8,,EIF2S3,CORO1A,DUSP2,BOLA2,,,,,L3MBTL3,,,,,ITGB1,MIF4GD,LGALS8,,RACK1,,ZBTB10,,NEDD9,GRK6,IL2RG,ZNF790,C11orf58,,,,HSP90AA1,,VAV3,,TMX3,,,,,,,,UTP23,CSTF3,,ERC1,,,,,,,,TOP3B,NDUFA6,DNAJC9,CNOT6L,NPHP3,,,UBE4B,,,DVL2,,YTHDF2,,,,RASGEF1B,,,YWHAQ,GPN3,,,
,RBM3,,,RNF138,,ELP5,UBE2I,LYN,FAM204A,SETDB2,,,GTPBP10,SNHG5,DDX19A,,,,,MRPL35,CSRNP1,PIGG,,,,,FAM174A,LY75,,CCDC127,,,G6PD,DDA1,SLC35F5,MVD,,,,PUM3,,PDCD4,,,,,KIFAP3,,,TBL3,CSNK1G2,ZNF33A,DPM2,,EIF3D,COX10,DUSP8,BORCS6,,,,,LAG3,,,,,JAGN1,MITD1,LIMA1,,RARS,,ZCCHC10,,NFAT5,GTF3C1,INO80E,ZSCAN2,C12orf10,,,,HSP90AB1,,YES1,,TNFAIP8,,,,,,,,VAMP4,CTBP1,,ESD,,,,,,,,TRAF7,NDUFB7,DNMT1,CNPPD1,NPTN,,,UFL1,,,DYNC1H1,,YWHAE,,,,RBM26,,,ZBED5,GPR89A,,,
,RGS9,,,RNF168,,EMB,UBE2M,LYRM2,FAM65B,SFMBT2,,,GUF1,SNHG8,DDX24,,,,,MRPL38,CSTF3,PIGT,,,,,FAM177A1,LYRM7,,CCDC167,,,GALC,DDB1,SMARCC1,NAMPT,,,,PVT1,,PDCD6,,,,,KIR2DL3,,,TBP,CTBP1,ZNF384,DR1,,EIF4E3,COX17,DZIP3,BPTF,,,,,LARP7,,,,,KATNA1,MKRN2,LINC01578,,RBM3,,ZDHHC20,,NFATC2,GTPBP1,INPP4A,,C12orf57,,,,HSPBAP1,,YTHDF3,,TNIP2,,,,,,,,VRK3,CTNNA1,,EYA3,,,,,,,,TRIM56,NDUFS3,DNTTIP1,COMMD2,NSFL1C,,,USP28,,,DYNC1I2,,YWHAH,,,,RBM33,,,ZBTB33,GRN,,,
,RHOB,,,RNF19A,,EML3,UBL5,MAGOHB,FAM89B,SFT2D2,,,GYPC,SNRNP27,DDX27,,,,,MRPS25,CTCF,PIK3AP1,,,,,FAM3A,MADD,,CCDC174,,,GATAD1,DDIT4,SMYD2,NARF,,,,RAB21,,PDCD7,,,,,KLF6,,,TES,CTNNA1,ZNF395,DTX3L,,EIF5A,COX18,EFTUD2,BRAF,,,,,LDB1,,,,,KCTD9,MLEC,LITAF,,RPL10A,,ZER1,,NFE2L2,GZF1,IREB2,,C12orf75,,,,IFFO2,,YWHAE,,TRAF6,,,,,,,,WDR83,CTSC,,FAM107B,,,,,,,,TSSC4,NKAP,DPAGT1,COPE,NT5C3A,,,USP53,,,DYNC1LI2,,ZC3H7B,,,,RBPJ,,,ZBTB44,GRSF1,,,
,RNF216,,,RORA,,EP300,UBN2,MALSU1,FARSB,SH3KBP1,,,HARS,SNRNP70,DDX39A,,,,,MRPS36,CTDSPL2,PIKFYVE,,,,,FAM49A,MALT1,,CCDC186,,,GBP3,DDX19B,SND1,NAT10,,,,RAB4A,,PDCL3,,,,,KLHL28,,,TESK1,CTNNB1,,DYNC1LI1,,EIF6,COX19,EGR1,BRD1,,,,,LDLRAD4,,,,,KIF2A,MOSPD2,LMO4,,RPL11,,ZFC3H1,,NFIL3,H1FX,ISG20L2,,C15orf61,,,,IFNAR1,,ZBTB16,,TTC7A,,,,,,,,WDTC1,CUL5,,FAM168B,,,,,,,,TXN2,NME1,DPH7,COPS4,NUBP1,,,VAMP4,,,DYRK1B,,ZFX,,,,RCOR3,,,ZDHHC7,GSS,,,
,RPL10A,,,RSAD2,,EPC1,UBTF,MANF,FASLG,SIAH2,,,HAX1,SNRPN,DDX3X,,,,,MRTO4,CTNNA1,PLCXD2,,,,,FAM49B,MAP3K1,,CCDC47,,,GCC2,DDX49,SNRNP27,NCBP2,,,,RAB5B,,PDP2,,,,,KPNA4,,,TEX30,CUL2,,DYNLT1,,ELOF1,COX5B,EIF1,BRD2,,,,,LENG8,,,,,KIF5B,MPG,LPGAT1,,RPL12,,ZFY,,NFKB1,HAUS6,ITGAL,,C16orf87,,,,INO80,,ZC3H12A,,UBAC2,,,,,,,,WWC3,CXCR2,,FAM49B,,,,,,,,UFC1,NOL7,DPM3,COPS5,NUMB,,,VAPA,,,EAPP,,ZKSCAN1,,,,REL,,,ZFX,GSTM4,,,
,RPL12,,,RUNX1,,ERAP1,UBXN1,MAPRE2,FBXO25,SIRT1,,,HDLBP,SNU13,DDX5,,,,,MSMO1,CUL3,PLEKHM1,,,,,FANCA,MBD1,,CCDC6,,,GFM1,DDX5,SNRNP40,NCK1,,,,RAB9A,,PELO,,,,,KPNA6,,,THUMPD3-AS1,CWC15,,EBNA1BP2,,EMC10,COX7A2,EIF1B,BRF2,,,,,LEPROT,,,,,KIR3DL2,MPHOSPH8,LRRFIP1,,RPL15,,ZNF100,,NFKB2,HBP1,ITPK1,,C16orf91,,,,INPP1,,ZC3H7A,,UBALD2,,,,,,,,XPOT,CXorf38,,FAM78A,,,,,,,,UQCR11,NOP10,DPP3,COPS6,ORMDL3,,,VAPB,,,EEA1,,ZMAT3,,,,REPS1,,,ZNF121,GSTO1,,,
,RPL15,,,RYBP,,ERBIN,UHMK1,MAX,FBXO38,SKAP1,,,HEXB,SPAG7,DDX6,,,,,MTG1,CUL4A,PLOD1,,,,,FANCF,MCL1,,CCDC88A,,,GIMAP4,DDX59,SNRPD2,NDEL1,,,,RABEP1,,PGM2L1,,,,,LARP7,,,TIMM17A,CWC25,,EFHC1,,EMC2,CPQ,EIF2B2,BRI3,,,,,LINC00339,,,,,KLF13,MPP6,LYST,,RPL18A,,ZNF260,,NFKBIA,HBS1L,ITSN2,,C17orf49,,,,INTS6-AS1,,ZFC3H1,,UBE2E3,,,,,,,,YEATS2,CYB5A,,FAM8A1,,,,,,,,USP15,NOSIP,DPP7,COX14,OTUD4,,,WHAMM,,,EFHD2,,ZNF280D,,,,RICTOR,,,ZNF224,GTF3C3,,,
,RPL18,,,SAR1B,,ERCC4,ULK3,MBD4,FBXO6,SKIL,,,HINT1,SPATS2,DEAF1,,,,,MTMR12,CWC15,PMS1,,,,,FASLG,MCM9,,CCDC88C,,,GIN1,DEF6,SPATS2,NEAT1,,,,RABGGTB,,PHF12,,,,,LCOR,,,TM2D1,CXorf38,,EHBP1,,EMP3,CRCP,EIF2B4,BRK1,,,,,LINC00893,,,,,KLHL36,MRM2,MAF,,RPL19,,ZNF32,,NFKBIB,HIF1A,JUN,,C18orf25,,,,IPO9,,ZNF106,,UNK,,,,,,,,YME1L1,CYB5R3,,FASLG,,,,,,,,USP25,NPM1,DPP9,COX17,PACSIN2,,,WSB1,,,EGLN2,,ZNF281,,,,RLF,,,ZNF445,GUF1,,,
,RPL21,,,SBF2,,ERCC6,USF1,MDFIC,FBXO9,SLC25A33,,,HMGA1,SPCS3,DEDD,,,,,MYCBP,CWC22,PNRC2,,,,,FBF1,MDM2,,CCDC9,,,GIT2,DENND1C,SREK1,NFATC1,,,,RAD21,,PI4K2B,,,,,LINC00667,,,TMED2,CYB5R4,,EHD4,,ENSA,CRELD1,EIF2S2,BRMS1,,,,,LINC00909,,,,,KMT5B,MRPL28,MAP3K8,,RPL21,,ZNF431,,NFKBIE,HIPK1,KANSL1-AS1,,C18orf32,,,,IPP,,ZNF267,,USP38,,,,,,,,YTHDC2,CYC1,,FBXO25,,,,,,,,USP3,NSUN5,DPY30,COX4I1,PAF1,,,WTAP,,,EHD1,,ZNF395,,,,RNF111,,,ZNF484,GYPC,,,
,RPL22L1,,,SCAF11,,ERI1,USP16,MED12,FBXW4,SLC38A1,,,HMOX2,SPPL2B,DEGS1,,,,,NAP1L4,CWC25,POC1B,,,,,FCER1G,MED15,,CCND2,,,GLIPR2,DENR,SRSF2,NFE2L2,,,,RAP1A,,PIGB,,,,,LINC00987,,,TMEM102,CYCS,,EHMT2,,EPB41,CRY1,EIF3L,BRWD1,,,,,LINC01089,,,,,KPNA4,MRPL33,MAPK1IP1L,,RPL22L1,,ZNF595,,NFKBIZ,HIVEP1,KAT6B,,C19orf53,,,,IQGAP2,,ZNF644,,USP8,,,,,,,,YTHDF3,CYHR1,,FBXO38,,,,,,,,UTP23,NUDT16L1,DPYSL2,COX6A1,PAN3,,,XPO1,,,EID1,,ZNF398,,,,RNF19A,,,ZNF518A,H2AFV,,,
