ARID3A_(+),ARID5B_(+),ARNTL_(+),ATF1_(+),ATF4_(+),ATF6B_(+),BATF_(+),BCL11B_(+),BCLAF1_(+),BHLHE40_(+),BPTF_(+),CEBPB_(+),CEBPD_(+),CEBPG_(+),CREB1_(+),CREB3L2_(+),CREM_(+),CTCF_(+),CUX1_(+),DDIT3_(+),E2F4_(+),ELF1_(+),ELF2_(+),ELK4_(+),EOMES_(+),EP300_(+),ETS1_(+),FLI1_(+),FOS_(+),FOSB_(+),FOSL2_(+),FOXO3_(+),FOXP1_(+),GATA3_(+),GATAD1_(+),GATAD2A_(+),GTF2I_(+),HMBOX1_(+),HMG20B_(+),HMGA1_(+),HOXB2_(+),HSF1_(+),IKZF1_(+),IKZF2_(+),IKZF3_(+),ILF2_(+),ING4_(+),IRF1_(+),IRF2_(+),IRF3_(+),IRF7_(+),IRF8_(+),IRF9_(+),JUN_(+),JUNB_(+),JUND_(+),KLF2_(+),KLF3_(+),MAF_(+),MAFF_(+),MAX_(+),MGA_(+),MLX_(+),MXD1_(+),MXD4_(+),MYBL1_(+),NFATC2_(+),NFE2L2_(+),NFYC_(+),NR2C2_(+),NR3C1_(+),PBX2_(+),PHF20_(+),PRDM1_(+),PURA_(+),RUNX3_(+),RXRB_(+),SMARCC2_(+),SP3_(+),STAT1_(+),STAT3_(+),STAT6_(+),TAF6_(+),TBX21_(+),TCF7_(+),TFDP1_(+),TFDP2_(+),TFEB_(+),USF2_(+),VEZF1_(+),XBP1_(+),YBX1_(+),YY1_(+),ZBTB43_(+),ZBTB7A_(+),ZFP91_(+),ZFX_(+),ZNF148_(+),ZNF224_(+),ZNF226_(+),ZNF274_(+),ZNF33A_(+),ZNF350_(+),ZNF429_(+),ZNF480_(+),ZNF518A_(+),ZNF580_(+),ZNF600_(+)
,,,,,,,,PDZD11,,,ZMAT2,,,,,,,,,,KATNA1,SLIRP,,,,KLF12,,UBL5,,,,,SAFB,,,,,,,,,RAB4A,,,PSMC1,,YWHAE,,,,,,METAP2,RNF13,NEAT1,,,,,,,,,,,,,,,,,TAF9,,,HPCAL1,,,,,,,,,,,,,,,POLDIP2,IARS,KLRK1,,SLFN12L,,,,,,,,,,,,,
,,,,,,,,PET100,,,ZNF276,,,,,,,,,,KIAA0355,SMIM15,,,,KLRG1,,UBXN1,,,,,SAMD3,,,,,,,,,RABAC1,,,PSMD8,,YWHAZ,,,,,,METTL3,RNF181,NECAP1,,,,,,,,,,,,,,,,,TALDO1,,,HPRT1,,,,,,,,,,,,,,,POLR2A,ICAM3,KMT2E-AS1,,SLIRP,,,,,,,,,,,,,
,,,,,,,,PEX2,,,ZNF302,,,,,,,,,,KLF13,SNW1,,,,KMT2A,,UFC1,,,,,SEC61B,,,,,,,,,RAD21,,,PSME2,,ZBP1,,,,,,MIB2,RNF44,NIT2,,,,,,,,,,,,,,,,,TAPBPL,,,HSPA5,,,,,,,,,,,,,,,POLR2J,IDI1,KRTCAP2,,SMC2,,,,,,,,,,,,,
,,,,,,,,PHC3,,,ZNF394,,,,,,,,,,KLRG1,SON,,,,KPNB1,,UQCRB,,,,,SH3BGRL,,,,,,,,,RAD23B,,,PTTG1,,ZC3H18,,,,,,MIS18BP1,RNF7,NPM1,,,,,,,,,,,,,,,,,TCF25,,,IDS,,,,,,,,,,,,,,,POLR2J3,IFNG,LAGE3,,SMNDC1,,,,,,,,,,,,,
,,,,,,,,PHF14,,,ZNF655,,,,,,,,,,KLRK1,SPCS3,,,,LAIR1,,USP48,,,,,SHKBP1,,,,,,,,,RAD9A,,,PXN,,ZMYND8,,,,,,MLX,RPIA,NUDC,,,,,,,,,,,,,,,,,TEX264,,,IFI44L,,,,,,,,,,,,,,,POLR2K,IL18RAP,LAIR1,,SNAP23,,,,,,,,,,,,,
,,,,,,,,PILRB,,,ZNHIT1,,,,,,,,,,KPNA1,SPON2,,,,LAMTOR1,,USP9X,,,,,SLC25A3,,,,,,,,,RBBP6,,,RAN,,ZNF335,,,,,,MORC3,RPL10,NUP50,,,,,,,,,,,,,,,,,THOC2,,,IGF2R,,,,,,,,,,,,,,,PPIB,ILF2,LAMP1,,SNHG6,,,,,,,,,,,,,
,,,,,,,,PIM2,,,,,,,,,,,,,KPNB1,SRP19,,,,LAPTM5,,VASP,,,,,SLC38A1,,,,,,,,,REV1,,,RAP2B,,ZNF622,,,,,,MPG,RPL11,ORAI2,,,,,,,,,,,,,,,,,TIMM9,,,IL16,,,,,,,,,,,,,,,PPID,ING2,LAPTM4A,,SNRPG,,,,,,,,,,,,,
,,,,,,,,PMAIP1,,,,,,,,,,,,,KRR1,SS18L2,,,,LENG8,,VCPKMT,,,,,SLTM,,,,,,,,,RGS14,,,RFC2,,ZNF75A,,,,,,MRPL12,RPL12,ORMDL1,,,,,,,,,,,,,,,,,TMED9,,,ILKAP,,,,,,,,,,,,,,,PPIG,INSIG1,LARP7,,SNX17,,,,,,,,,,,,,
,,,,,,,,POLR1D,,,,,,,,,,,,,LARP7,STAU1,,,,LEPROTL1,,VMA21,,,,,SNHG5,,,,,,,,,RHEB,,,RHOT2,,,,,,,,MRPL20,RPL13A,OS9,,,,,,,,,,,,,,,,,TMEM106B,,,INSIG1,,,,,,,,,,,,,,,PPM1K,IRAK4,LAT2,,SPCS2,,,,,,,,,,,,,
,,,,,,,,POLR3GL,,,,,,,,,,,,,LDHA,STK10,,,,LIMD2,,YPEL5,,,,,SNRPD1,,,,,,,,,RHOH,,,RIF1,,,,,,,,MRPL24,RPL19,PAIP2,,,,,,,,,,,,,,,,,TMEM14A,,,IRS2,,,,,,,,,,,,,,,PPM1M,ISCA1,LEPROTL1,,SQSTM1,,,,,,,,,,,,,
,,,,,,,,PPM1B,,,,,,,,,,,,,LGALS9,STK25,,,,LIMS1,,YWHAZ,,,,,SNRPE,,,,,,,,,RNF181,,,RPL10,,,,,,,,MRPL33,RPL21,PARP8,,,,,,,,,,,,,,,,,TMEM167B,,,ISCA1,,,,,,,,,,,,,,,PPP1R10,ITGB1,LIMD2,,SRP72,,,,,,,,,,,,,
,,,,,,,,PPP1CB,,,,,,,,,,,,,LIMD2,STRAP,,,,LRRFIP1,,ZC3H15,,,,,SNRPG,,,,,,,,,RNH1,,,RPL10A,,,,,,,,MRPL40,RPL22L1,PARVG,,,,,,,,,,,,,,,,,TMEM243,,,ISG20,,,,,,,,,,,,,,,PRMT1,ITGB1BP1,LMAN2,,SRPK2,,,,,,,,,,,,,
,,,,,,,,PPP1R15A,,,,,,,,,,,,,LRMP,STXBP2,,,,LSM14A,,ZDHHC3,,,,,SOD1,,,,,,,,,RPAIN,,,RPL13,,,,,,,,MRPL48,RPL24,PCBP1,,,,,,,,,,,,,,,,,TMPO,,,ITGAM,,,,,,,,,,,,,,,PRMT9,JTB,LPCAT1,,SSR1,,,,,,,,,,,,,
,,,,,,,,PPP3CC,,,,,,,,,,,,,LRRC59,SUCLG1,,,,LSM6,,ZFAND2A,,,,,SPOP,,,,,,,,,RTF1,,,RPL26L1,,,,,,,,MRPL54,RPL27A,PDCD10,,,,,,,,,,,,,,,,,TMX1,,,ITGB3BP,,,,,,,,,,,,,,,PSMB3,KATNA1,LPP,,ST3GAL4,,,,,,,,,,,,,
,,,,,,,,PRDX6,,,,,,,,,,,,,LSM6,SYNGR1,,,,LSP1,,ZNF593,,,,,SSB,,,,,,,,,S100A6,,,RPL29,,,,,,,,MRPS28,RPL29,PDCD2,,,,,,,,,,,,,,,,,TOP2B,,,IVNS1ABP,,,,,,,,,,,,,,,PSMC5,KCTD20,LRMP,,STAT4,,,,,,,,,,,,,
,,,,,,,,PRKACB,,,,,,,,,,,,,LTA4H,SYS1,,,,LUC7L2,,,,,,,SSR2,,,,,,,,,SAMD3,,,RPL34,,,,,,,,MRPS36,RPL31,PDCD6IP,,,,,,,,,,,,,,,,,TRG-AS1,,,JAK1,,,,,,,,,,,,,,,PSMD7,KDM5A,LSM1,,STMN1,,,,,,,,,,,,,
,,,,,,,,PRMT7,,,,,,,,,,,,,LTB,TCEA1,,,,LY6E,,,,,,,SUCLG1,,,,,,,,,SCAMP2,,,RPL6,,,,,,,,MRPS7,RPL32,PHF20L1,,,,,,,,,,,,,,,,,TRIM26,,,JAZF1,,,,,,,,,,,,,,,PSMD8,KHDRBS1,LSM14A,,STX18,,,,,,,,,,,,,
,,,,,,,,PSMA3-AS1,,,,,,,,,,,,,LUC7L2,TESC,,,,LYPLA2,,,,,,,SUDS3,,,,,,,,,SCP2,,,RPLP2,,,,,,,,MT2A,RPL34,PICALM,,,,,,,,,,,,,,,,,TRIM8,,,KATNA1,,,,,,,,,,,,,,,PTPN12,KIF2A,LSM3,,SUCLG1,,,,,,,,,,,,,
,,,,,,,,PSMB6,,,,,,,,,,,,,LYRM7,TIMM17B,,,,LYRM1,,,,,,,SUMO3,,,,,,,,,SEC11C,,,RPS19BP1,,,,,,,,MTCH2,RPL37,PKN1,,,,,,,,,,,,,,,,,TSPAN32,,,KCNAB2,,,,,,,,,,,,,,,RABAC1,KLHL18,LSM7,,SYTL3,,,,,,,,,,,,,
,,,,,,,,PSMD7,,,,,,,,,,,,,MANF,TKT,,,,MAGOH,,,,,,,TAGLN2,,,,,,,,,SERF2,,,RPS24,,,,,,,,MTSS1,RPL4,PLEKHJ1,,,,,,,,,,,,,,,,,TSTA3,,,KDM2A,,,,,,,,,,,,,,,RAD9A,KLRF1,LSP1,,TAGLN2,,,,,,,,,,,,,
,,,,,,,,PSMD9,,,,,,,,,,,,,MAPK1,TMEM222,,,,MAP2K2,,,,,,,TBCB,,,,,,,,,SF3A1,,,RPSA,,,,,,,,MX1,RPL6,PNISR,,,,,,,,,,,,,,,,,TUBA1B,,,KHDRBS1,,,,,,,,,,,,,,,RANBP3,KLRG1,MAP2K2,,TATDN1,,,,,,,,,,,,,
,,,,,,,,PTBP1,,,,,,,,,,,,,MAPRE1,TMEM230,,,,MAP2K3,,,,,,,TCOF1,,,,,,,,,SF3B2,,,RUNX1,,,,,,,,MYL12A,RPL7A,POLDIP3,,,,,,,,,,,,,,,,,UBE2J1,,,KIAA1191,,,,,,,,,,,,,,,RAP1A,KLRK1,MAPKAPK3,,TCERG1,,,,,,,,,,,,,
,,,,,,,,PTPN2,,,,,,,,,,,,,MAX,TMEM9B,,,,MAP2K7,,,,,,,TERF2IP,,,,,,,,,SFSWAP,,,S100A11,,,,,,,,MYL6,RPL8,PPP1R12A,,,,,,,,,,,,,,,,,UBE2N,,,KLF13,,,,,,,,,,,,,,,REST,KMT2E-AS1,MAST3,,TCF7,,,,,,,,,,,,,
,,,,,,,,RAB1A,,,,,,,,,,,,,MCRS1,TOMM22,,,,MAPK1IP1L,,,,,,,TGOLN2,,,,,,,,,SH3BP5,,,SAP18,,,,,,,,NARF,RPL9,PPP6C,,,,,,,,,,,,,,,,,UNC13D,,,KLHL18,,,,,,,,,,,,,,,RHOA,KRR1,MCM3,,TCIRG1,,,,,,,,,,,,,
,,,,,,,,RAB29,,,,,,,,,,,,,MDM4,TOMM7,,,,MAPKAP1,,,,,,,THOC7,,,,,,,,,SMARCE1,,,SAP30BP,,,,,,,,NCKAP1L,RPLP1,PRDX6,,,,,,,,,,,,,,,,,USP1,,,KLRK1,,,,,,,,,,,,,,,RHOT2,LARP7,MCM7,,TCOF1,,,,,,,,,,,,,
,,,,,,,,RAB4B,,,,,,,,,,,,,MED23,TOP2B,,,,MARK3,,,,,,,TKT,,,,,,,,,SMIM19,,,SCO2,,,,,,,,NDUFA13,RPLP2,PRKCB,,,,,,,,,,,,,,,,,VPS4B,,,KRAS,,,,,,,,,,,,,,,RIN3,LDHB,MCRS1,,TEX264,,,,,,,,,,,,,
,,,,,,,,RAB6A,,,,,,,,,,,,,MED28,TPT1,,,,MAT2A,,,,,,,TMA7,,,,,,,,,SNHG17,,,SCP2,,,,,,,,NDUFB2,RPS11,PRMT2,,,,,,,,,,,,,,,,,WDR1,,,LAMP1,,,,,,,,,,,,,,,RNASET2,LIMS1,MDM2,,TGFB1,,,,,,,,,,,,,
,,,,,,,,RAB8B,,,,,,,,,,,,,MLLT6,TTC17,,,,MBD5,,,,,,,TMBIM6,,,,,,,,,SNRPC,,,SDHAF2,,,,,,,,NDUFS3,RPS12,PRRC2A,,,,,,,,,,,,,,,,,XBP1,,,LARP7,,,,,,,,,,,,,,,RNF13,LINC00339,METAP2,,TIMM17A,,,,,,,,,,,,,
,,,,,,,,RACK1,,,,,,,,,,,,,MRPL1,TTC39C,,,,MBTPS1,,,,,,,TMEM161B-AS1,,,,,,,,,SNX17,,,SF1,,,,,,,,NDUFS4,RPS14,PRRC2C,,,,,,,,,,,,,,,,,YWHAQ,,,LASP1,,,,,,,,,,,,,,,RNF138,LINC01578,MIF,,TIMMDC1,,,,,,,,,,,,,
,,,,,,,,RAD23A,,,,,,,,,,,,,MRPL22,UBE2A,,,,MCRS1,,,,,,,TOMM5,,,,,,,,,SNX5,,,SF3B2,,,,,,,,NDUFS8,RPS18,PSMB9,,,,,,,,,,,,,,,,,ZAP70,,,LENG8,,,,,,,,,,,,,,,RNF181,LMAN2,MIS18BP1,,TIMP1,,,,,,,,,,,,,
,,,,,,,,RAP1GDS1,,,,,,,,,,,,,MRPL38,UBLCP1,,,,MCTP2,,,,,,,TOMM7,,,,,,,,,SP3,,,SKP1,,,,,,,,NDUFV3,RPS19,PTGDR,,,,,,,,,,,,,,,,,ZBP1,,,LINC00662,,,,,,,,,,,,,,,ROCK1,LMNB1,MMP23B,,TINF2,,,,,,,,,,,,,
,,,,,,,,RASSF4,,,,,,,,,,,,,MRPL48,UQCRB,,,,MDM2,,,,,,,TPT1,,,,,,,,,SRGN,,,SLC25A3,,,,,,,,NEAT1,RPS2,PTP4A2,,,,,,,,,,,,,,,,,ZBTB1,,,LINC00667,,,,,,,,,,,,,,,ROMO1,LMO4,MPHOSPH8,,TMED9,,,,,,,,,,,,,
,,,,,,,,RBX1,,,,,,,,,,,,,MRPS10,USP15,,,,ME2,,,,,,,TRIM44,,,,,,,,,SRSF4,,,SLIRP,,,,,,,,NEDD8,RPS20,PTPRA,,,,,,,,,,,,,,,,,ZCCHC10,,,LMF2,,,,,,,,,,,,,,,RORA,LONP2,MRPL12,,TMEM126B,,,,,,,,,,,,,
,,,,,,,,RGS10,,,,,,,,,,,,,MRPS17,VPS28,,,,MEA1,,,,,,,TSPO,,,,,,,,,STK17A,,,SLU7,,,,,,,,NF1,RPS25,PTPRC,,,,,,,,,,,,,,,,,ZNF292,,,LNPEP,,,,,,,,,,,,,,,RPL34,LPP,MRPL23,,TMEM147,,,,,,,,,,,,,
,,,,,,,,RHEB,,,,,,,,,,,,,MRPS22,WDR1,,,,MECP2,,,,,,,TXNL4A,,,,,,,,,STXBP2,,,SMC1A,,,,,,,,NFATC2,RPS26,PUS7L,,,,,,,,,,,,,,,,,ZNF585A,,,LYN,,,,,,,,,,,,,,,RPL36AL,LPXN,MRPL48,,TMEM256,,,,,,,,,,,,,
,,,,,,,,RHOT1,,,,,,,,,,,,,MRPS24,WDR13,,,,MED23,,,,,,,UBE2D3,,,,,,,,,SURF4,,,SMC4,,,,,,,,NRDE2,RPS27,PYCARD,,,,,,,,,,,,,,,,,ZNF622,,,LYPLA2,,,,,,,,,,,,,,,RPL7L1,LRRC47,MRPS10,,TMEM50A,,,,,,,,,,,,,
,,,,,,,,RNASEK,,,,,,,,,,,,,MRPS28,WDR45,,,,MED28,,,,,,,UBE2N,,,,,,,,,SVIP,,,SMIM7,,,,,,,,NSUN6,RPS27A,PYURF,,,,,,,,,,,,,,,,,ZNF706,,,LYST,,,,,,,,,,,,,,,RPN1,LSM3,MRPS21,,TMX1,,,,,,,,,,,,,
,,,,,,,,RNF181,,,,,,,,,,,,,MRPS34,WDR61,,,,MED30,,,,,,,UPF3A,,,,,,,,,SYNE2,,,SND1,,,,,,,,NT5C,RPS29,RAB11FIP4,,,,,,,,,,,,,,,,,ZRSR2,,,MAGOH,,,,,,,,,,,,,,,RPP38,LSM5,MRPS23,,TMX4,,,,,,,,,,,,,
,,,,,,,,RNF5,,,,,,,,,,,,,MT2A,WSB1,,,,METAP2,,,,,,,UQCC2,,,,,,,,,TBRG1,,,SNRPB,,,,,,,,OSER1,RPS3A,RAB5A,,,,,,,,,,,,,,,,,ZYX,,,MAP3K13,,,,,,,,,,,,,,,RUNX3,LSM8,MRPS24,,TNFAIP8,,,,,,,,,,,,,
,,,,,,,,RNPS1,,,,,,,,,,,,,MVD,YDJC,,,,MGAT4A,,,,,,,VAMP2,,,,,,,,,TCOF1,,,SNRPD2,,,,,,,,OTUB1,RPS4X,RAP1B,,,,,,,,,,,,,,,,,,,,MARCH6,,,,,,,,,,,,,,,RWDD1,LUC7L2,MRPS26,,TNPO3,,,,,,,,,,,,,
,,,,,,,,ROMO1,,,,,,,,,,,,,MX1,ZBTB44,,,,MIEN1,,,,,,,WDR1,,,,,,,,,TFAM,,,SNW1,,,,,,,,OTUD5,RPS5,RBM22,,,,,,,,,,,,,,,,,,,,MARK3,,,,,,,,,,,,,,,S100A6,MAF1,MVB12A,,TOMM5,,,,,,,,,,,,,
,,,,,,,,RPL10A,,,,,,,,,,,,,MZT2B,ZC3HAV1,,,,MIS18BP1,,,,,,,WDR18,,,,,,,,,TGOLN2,,,SPPL2A,,,,,,,,OXR1,RPS6,RBM3,,,,,,,,,,,,,,,,,,,,MARS,,,,,,,,,,,,,,,S1PR4,MAGOHB,MYL12A,,TOMM6,,,,,,,,,,,,,
,,,,,,,,RPL13A,,,,,,,,,,,,,N4BP2L2,ZFP36,,,,MRPL12,,,,,,,XCL2,,,,,,,,,TIMM10,,,SPTBN1,,,,,,,,P4HB,RPS7,RBM38,,,,,,,,,,,,,,,,,,,,MAX,,,,,,,,,,,,,,,SAR1A,MAGT1,MYL12B,,TOP2B,,,,,,,,,,,,,
,,,,,,,,RPL22,,,,,,,,,,,,,NAA38,ZMYM2,,,,MRPL43,,,,,,,ZBTB7A,,,,,,,,,TIMM17B,,,SRP19,,,,,,,,PAPOLA,RPS9,RBM42,,,,,,,,,,,,,,,,,,,,MBD4,,,,,,,,,,,,,,,SARS,MAPK1IP1L,NACA,,TRAM1,,,,,,,,,,,,,
,,,,,,,,RPL23A,,,,,,,,,,,,,NBR1,ZNF148,,,,MT1X,,,,,,,ZC3H15,,,,,,,,,TIMMDC1,,,SRSF5,,,,,,,,PCBP1,RSL1D1,RBX1,,,,,,,,,,,,,,,,,,,,MCL1,,,,,,,,,,,,,,,SDAD1,MAPKAP1,NCAM1,,TRIM14,,,,,,,,,,,,,
,,,,,,,,RPL24,,,,,,,,,,,,,NDE1,,,,,MTG1,,,,,,,ZEB2,,,,,,,,,TLE1,,,SUB1,,,,,,,,PCED1B-AS1,S100A6,RGS14,,,,,,,,,,,,,,,,,,,,MCM3,,,,,,,,,,,,,,,SDF2L1,MCTS1,NDUFB1,,TRIM44,,,,,,,,,,,,,
,,,,,,,,RPL27A,,,,,,,,,,,,,NDUFA12,,,,,MYO1G,,,,,,,ZFAND1,,,,,,,,,TMEM14B,,,SUMO1,,,,,,,,PCM1,S1PR4,RHEB,,,,,,,,,,,,,,,,,,,,MCM5,,,,,,,,,,,,,,,SDR39U1,MED10,NDUFC2,,TRMT112,,,,,,,,,,,,,
,,,,,,,,RPL34,,,,,,,,,,,,,NDUFS7,,,,,MZF1-AS1,,,,,,,,,,,,,,,,TMSB10,,,SUMO3,,,,,,,,PDCD6,SAP30BP,RHOC,,,,,,,,,,,,,,,,,,,,MCRIP1,,,,,,,,,,,,,,,SEC22C,MED23,NDUFS1,,TSPAN32,,,,,,,,,,,,,
,,,,,,,,RPL35,,,,,,,,,,,,,NDUFS8,,,,,NABP2,,,,,,,,,,,,,,,,TMSB4X,,,SYAP1,,,,,,,,PEF1,SCAF11,RITA1,,,,,,,,,,,,,,,,,,,,MCRS1,,,,,,,,,,,,,,,SEC31A,MED6,NDUFS8,,TTC28-AS1,,,,,,,,,,,,,
,,,,,,,,RPL36,,,,,,,,,,,,,NDUFV1,,,,,NADSYN1,,,,,,,,,,,,,,,,TRAPPC6A,,,SYNCRIP,,,,,,,,PET100,SERTAD1,RNF115,,,,,,,,,,,,,,,,,,,,MCTS1,,,,,,,,,,,,,,,SEC61G,MGST3,NKG7,,TUBA1A,,,,,,,,,,,,,
,,,,,,,,RPL39,,,,,,,,,,,,,NDUFV3,,,,,NAE1,,,,,,,,,,,,,,,,TSTD1,,,TAF12,,,,,,,,PFDN6,SET,RNFT1,,,,,,,,,,,,,,,,,,,,MED30,,,,,,,,,,,,,,,SERPINB1,MIDN,NME1,,TUBB,,,,,,,,,,,,,
,,,,,,,,RPL41,,,,,,,,,,,,,NEMF,,,,,NAP1L4,,,,,,,,,,,,,,,,U2SURP,,,TBCB,,,,,,,,PFN1,SF3B2,RPL13,,,,,,,,,,,,,,,,,,,,MED4,,,,,,,,,,,,,,,SF3B6,MLLT10,NME2,,TUFM,,,,,,,,,,,,,
,,,,,,,,RPL9,,,,,,,,,,,,,NIPBL,,,,,NCR1,,,,,,,,,,,,,,,,UAP1,,,TCEA1,,,,,,,,PHF14,SH2D1A,RPL18,,,,,,,,,,,,,,,,,,,,MEI1,,,,,,,,,,,,,,,SH3GLB1,MOB3A,NOL7,,TXN2,,,,,,,,,,,,,
,,,,,,,,RPS14,,,,,,,,,,,,,NMD3,,,,,NCR3,,,,,,,,,,,,,,,,UBE2D2,,,TESC,,,,,,,,PHF20L1,SHISA5,RPL39,,,,,,,,,,,,,,,,,,,,MFAP1,,,,,,,,,,,,,,,SIKE1,MPPE1,NPM1,,TXNIP,,,,,,,,,,,,,
,,,,,,,,RPS19,,,,,,,,,,,,,NME1,,,,,NDUFA1,,,,,,,,,,,,,,,,UBE2L6,,,TEX264,,,,,,,,PIGT,SLBP,RPL5,,,,,,,,,,,,,,,,,,,,MGAT1,,,,,,,,,,,,,,,SLC39A10,MRPL16,NPRL2,,UBA2,,,,,,,,,,,,,
,,,,,,,,RPS2,,,,,,,,,,,,,NMI,,,,,NDUFA4,,,,,,,,,,,,,,,,UBLCP1,,,THAP9-AS1,,,,,,,,PITHD1,SLC44A2,RPS24,,,,,,,,,,,,,,,,,,,,MGRN1,,,,,,,,,,,,,,,SLC3A2,MRPL18,NRDC,,UBB,,,,,,,,,,,,,
,,,,,,,,RPS21,,,,,,,,,,,,,NMT1,,,,,NDUFV2,,,,,,,,,,,,,,,,UGP2,,,TIMM17B,,,,,,,,PJA2,SLIRP,RPS3A,,,,,,,,,,,,,,,,,,,,MIEN1,,,,,,,,,,,,,,,SMARCA5,MRPL20,NSA2,,UBE2G2,,,,,,,,,,,,,
,,,,,,,,RPS27,,,,,,,,,,,,,NONO,,,,,NELFCD,,,,,,,,,,,,,,,,UQCRQ,,,TMA7,,,,,,,,PKM,SNHG15,RPS8,,,,,,,,,,,,,,,,,,,,MIER1,,,,,,,,,,,,,,,SMG1,MRPL51,NUDCD2,,UBE2V1,,,,,,,,,,,,,
,,,,,,,,RPS5,,,,,,,,,,,,,NPC2,,,,,NHLRC3,,,,,,,,,,,,,,,,USP30-AS1,,,TMEM123,,,,,,,,PLGRKT,SNHG3,RPS9,,,,,,,,,,,,,,,,,,,,MIS18BP1,,,,,,,,,,,,,,,SNHG6,MRPS10,NUDT22,,UPP1,,,,,,,,,,,,,
,,,,,,,,RPS6,,,,,,,,,,,,,NR1H2,,,,,NME2,,,,,,,,,,,,,,,,USP7,,,TMEM147,,,,,,,,PLRG1,SNHG8,RSRP1,,,,,,,,,,,,,,,,,,,,MLLT10,,,,,,,,,,,,,,,SNRK,MRPS7,NUP107,,USF2,,,,,,,,,,,,,
,,,,,,,,RPS6KA1,,,,,,,,,,,,,NRDC,,,,,NMT1,,,,,,,,,,,,,,,,USP8,,,TRAPPC1,,,,,,,,PMAIP1,SPG21,RUNX3,,,,,,,,,,,,,,,,,,,,MORF4L1,,,,,,,,,,,,,,,SNRNP200,MYCBP2,NXT1,,USP1,,,,,,,,,,,,,
,,,,,,,,RPS7,,,,,,,,,,,,,NUB1,,,,,NPC2,,,,,,,,,,,,,,,,VHL,,,TRAPPC6A,,,,,,,,PNISR,SPTAN1,SAP18,,,,,,,,,,,,,,,,,,,,MPPE1,,,,,,,,,,,,,,,SNRPA,MYL12A,P4HB,,VPS4A,,,,,,,,,,,,,
,,,,,,,,RRBP1,,,,,,,,,,,,,OAZ2,,,,,NPM1,,,,,,,,,,,,,,,,VPS29,,,TRMT112,,,,,,,,PNKP,SQSTM1,SAR1A,,,,,,,,,,,,,,,,,,,,MRPL54,,,,,,,,,,,,,,,SOD2,NAA15,PA2G4,,WBP11,,,,,,,,,,,,,
,,,,,,,,RSRC1,,,,,,,,,,,,,OCIAD2,,,,,NPM3,,,,,,,,,,,,,,,,VPS4A,,,TSTA3,,,,,,,,PNRC1,SRGN,SARAF,,,,,,,,,,,,,,,,,,,,MRPL55,,,,,,,,,,,,,,,SP140L,NAA38,PAK2,,WDR74,,,,,,,,,,,,,
,,,,,,,,S100A11,,,,,,,,,,,,,ORMDL2,,,,,NR2C2,,,,,,,,,,,,,,,,YWHAZ,,,TUBB4B,,,,,,,,POGZ,SRP19,SATB1,,,,,,,,,,,,,,,,,,,,MRPL57,,,,,,,,,,,,,,,SPPL2A,NAA60,PARK7,,XRCC5,,,,,,,,,,,,,
,,,,,,,,SAMD9,,,,,,,,,,,,,OSTF1,,,,,OCIAD1,,,,,,,,,,,,,,,,ZCCHC17,,,TXNDC17,,,,,,,,POLR2B,SRP72,SCAMP3,,,,,,,,,,,,,,,,,,,,MRPS15,,,,,,,,,,,,,,,SPTBN1,NACA,PCBP1,,ZBTB7A,,,,,,,,,,,,,
,,,,,,,,SARNP,,,,,,,,,,,,,OXLD1,,,,,ODC1,,,,,,,,,,,,,,,,ZFP36L2,,,UBC,,,,,,,,PPA1,SRRM1,SDHC,,,,,,,,,,,,,,,,,,,,MRPS26,,,,,,,,,,,,,,,SRP14,NAP1L1,PCNA,,ZCCHC17,,,,,,,,,,,,,
,,,,,,,,SASH3,,,,,,,,,,,,,P4HB,,,,,P2RX4,,,,,,,,,,,,,,,,ZNF226,,,UBE2D3,,,,,,,,PPIB,SRSF3,SEC61G,,,,,,,,,,,,,,,,,,,,MT2A,,,,,,,,,,,,,,,SRSF2,NAPA,PCNP,,ZDHHC12,,,,,,,,,,,,,
,,,,,,,,SCAPER,,,,,,,,,,,,,PAIP2,,,,,PABPC1,,,,,,,,,,,,,,,,ZNF32,,,UBE3B,,,,,,,,PPP1CA,SRSF5,SERF2,,,,,,,,,,,,,,,,,,,,MTDH,,,,,,,,,,,,,,,SRSF5,NBR1,PDCD6,,ZFAND1,,,,,,,,,,,,,
,,,,,,,,SDCBP,,,,,,,,,,,,,PALM2-AKAP2,,,,,PARP1,,,,,,,,,,,,,,,,ZNF37A,,,UFM1,,,,,,,,PPP1R15A,SSH2,SERINC3,,,,,,,,,,,,,,,,,,,,MX1,,,,,,,,,,,,,,,SSRP1,NCAM1,PDGFD,,ZFC3H1,,,,,,,,,,,,,
,,,,,,,,SEC31A,,,,,,,,,,,,,PCMT1,,,,,PARP15,,,,,,,,,,,,,,,,ZNF580,,,UPF3A,,,,,,,,PPP2R5A,STXBP2,SERTAD3,,,,,,,,,,,,,,,,,,,,MYO1F,,,,,,,,,,,,,,,STIP1,NDUFA13,PDIA4,,ZFP36,,,,,,,,,,,,,
,,,,,,,,SELPLG,,,,,,,,,,,,,PFN1,,,,,PCBD1,,,,,,,,,,,,,,,,ZNF644,,,UQCR11,,,,,,,,PPP2R5C,SUN2,SET,,,,,,,,,,,,,,,,,,,,N4BP2L1,,,,,,,,,,,,,,,STK38,NDUFA4,PDIA6,,ZFP36L2,,,,,,,,,,,,,
